day_of_week,month,day,start_time,end_time,course
Wed,September,9,7:15am,8:15am,Computer Prog. Essent. II-3
Wed,September,9,11:15am,12:00pm,Study Hall-10-1
Thu,September,10,10am,11am,Computer Prog. Essentials-4
Fri,September,11,6am,7am,Computer Prog. Essentials-5
Fri,September,11,7:15am,8:15am,Analyzing Data in Python
Fri,September,11,10am,11am,Computer Prog. Essentials-6
Fri,September,11,11:15am,12:00pm,Computer Prog. Essent. II-6
Mon,September,14,6am,7am,Computer Prog. Essent. II-3
Mon,September,14,7:15am,8:15am,Study Hall-10-1
Mon,September,14,10am,11am,Analyzing Data in Python
Tue,September,15,6am,7am,Computer Prog. Essentials-3
Wed,September,16,6am,7am,Computer Prog. Essent. II-6
Wed,September,16,8:30am,9:15am,Advisory
Wed,September,16,11:15am,12:00pm,Computer Prog. Essent. II-3
Thu,September,17,6am,7am,Computer Prog. Essentials-5
Thu,September,17,7:15am,8:15am,Computer Prog. Essentials-4
Thu,September,17,8:30am,9:15am,Computer Prog. Essentials-3
Fri,September,18,6am,7am,Computer Prog. Essentials-6
Fri,September,18,7:15am,8:15am,Study Hall-10-1
Fri,September,18,8:30am,9:15am,Analyzing Data in Python
Mon,September,21,10am,11am,Computer Prog. Essent. II-6
Mon,September,21,11:15am,12:00pm,Computer Prog. Essentials-6
Tue,September,22,6am,7am,Computer Prog. Essentials-3
Tue,September,22,8:30am,9:15am,Computer Prog. Essentials-4
Tue,September,22,11:15am,12:00pm,Computer Prog. Essentials-5
Wed,September,23,7:15am,8:15am,Computer Prog. Essent. II-3
Wed,September,23,11:15am,12:00pm,Study Hall-10-1
Thu,September,24,10am,11am,Computer Prog. Essentials-4
Fri,September,25,6am,7am,Computer Prog. Essentials-5
Fri,September,25,7:15am,8:15am,Analyzing Data in Python
Fri,September,25,10am,11am,Computer Prog. Essentials-6
Fri,September,25,11:15am,12:00pm,Computer Prog. Essent. II-6
Tue,September,29,6am,7am,Computer Prog. Essentials-3
Wed,September,30,6am,7am,Computer Prog. Essent. II-6
Wed,September,30,8:30am,9:15am,Advisory
Wed,September,30,11:15am,12:00pm,Computer Prog. Essent. II-3
Thu,October,1,6am,7am,Computer Prog. Essentials-5
Thu,October,1,7:15am,8:15am,Computer Prog. Essentials-4
Thu,October,1,8:30am,9:15am,Computer Prog. Essentials-3
Fri,October,2,6am,7am,Computer Prog. Essentials-6
Fri,October,2,7:15am,8:15am,Study Hall-10-1
Fri,October,2,8:30am,9:15am,Analyzing Data in Python
Mon,October,5,10am,11am,Computer Prog. Essent. II-6
Mon,October,5,11:15am,12:00pm,Computer Prog. Essentials-6
Tue,October,6,6am,7am,Computer Prog. Essentials-3
Tue,October,6,8:30am,9:15am,Computer Prog. Essentials-4
