outcome,month,MMWR week,Age group,Vaccine product,Vaccinated with outcome,Fully vaccinated population,Unvaccinated with outcome,Unvaccinated population,Crude vax IR,Crude unvax IR,Crude IRR,Age adjusted vax IR,Age adjusted unvax IR,Age adjusted IRR,Continuity correction
case,APR 2021,202114,12-17,all_types,8,36887,30785,17556467,21.68785751,175.3484912,8.085099746,,,,0
case,APR 2021,202114,18-29,all_types,671,2543093,76736,31091337,26.38519315,246.808299,9.354045568,,,,0
case,APR 2021,202114,30-49,all_types,1837,7428405,98436,41074367,24.72940019,239.653115,9.691020131,,,,0
case,APR 2021,202114,50-64,all_types,1547,7487444,50324,22948579,20.66125637,219.2902663,10.61359786,,,,0
case,APR 2021,202114,65-79,all_types,1655,14398099,14880,7675922,11.494573,193.8529339,16.86473555,,,,0
case,APR 2021,202114,80+,all_types,792,4962963,3757,2524586,15.95820884,148.8164792,9.325387376,,,,0
case,APR 2021,202114,all_ages_adj,all_types,6510,36856891,274918,122871258,17.66291139,223.7447589,12.66749031,22.15740716,221.8711274,10.01340661,0
case,APR 2021,202114,all_ages_adj,Janssen,1151,2256251,274918,122871258,51.01382781,223.7447589,4.385962955,57.9875065,221.8711274,3.826188446,0
case,APR 2021,202114,all_ages_adj,Moderna,1788,16202440,274918,122871258,11.03537492,223.7447589,20.27522948,23.84111219,221.8711274,9.306240648,0
case,APR 2021,202114,all_ages_adj,Pfizer,3544,18346519,274918,122871258,19.31701594,223.7447589,11.58278067,22.35688494,221.8711274,9.924062676,0
case,APR 2021,202115,12-17,all_types,5,54519,30598,17294956,9.171114657,176.9186345,19.29085407,,,,0
case,APR 2021,202115,18-29,all_types,744,3160878,70484,29190562,23.53776387,241.4616067,10.25847689,,,,0
case,APR 2021,202115,30-49,all_types,2101,9097349,91823,37970089,23.09463999,241.8298256,10.47125332,,,,0
case,APR 2021,202115,50-64,all_types,1900,9628898,45460,20820578,19.73226843,218.341681,11.06520935,,,,0
case,APR 2021,202115,65-79,all_types,1962,16557222,14128,7029204,11.84981394,200.990041,16.96145121,,,,0
case,APR 2021,202115,80+,all_types,931,5410448,3425,2383421,17.20744752,143.7010079,8.35109378,,,,0
case,APR 2021,202115,all_ages_adj,all_types,7643,43909314,255918,114688810,17.40632978,223.1412114,12.81954405,19.62580695,222.2278987,11.32324899,1
case,APR 2021,202115,all_ages_adj,Janssen,1458,2943653,255918,114688810,49.5302945,223.1412114,4.505146066,53.06048943,222.2278987,4.188199187,1
case,APR 2021,202115,all_ages_adj,Moderna,2054,19010273,255918,114688810,10.80468439,223.1412114,20.65226556,12.22440828,222.2278987,18.17903113,1
case,APR 2021,202115,all_ages_adj,Pfizer,4113,21899432,255918,114688810,18.78130903,223.1412114,11.8810255,19.9004074,222.2278987,11.16700248,1
case,APR 2021,202116,12-17,all_types,8,84855,26222,17014486,9.427847505,154.1157341,16.34686327,,,,0
case,APR 2021,202116,18-29,all_types,891,4115213,54626,27645098,21.65137017,197.5974185,9.126323968,,,,0
case,APR 2021,202116,30-49,all_types,2409,11399686,74591,35520840,21.13216101,209.9922187,9.937091553,,,,0
case,APR 2021,202116,50-64,all_types,2193,12504087,36385,19305240,17.53826569,188.4721454,10.74633882,,,,0
case,APR 2021,202116,65-79,all_types,2000,18200254,12021,6550565,10.98885763,183.510888,16.69972387,,,,0
case,APR 2021,202116,80+,all_types,902,5762774,3003,2276091,15.65218417,131.9367284,8.429285453,,,,0
case,APR 2021,202116,all_ages_adj,all_types,8403,52066869,206848,108312320,16.13886174,190.9736584,11.83315537,18.00665084,191.7804242,10.65053273,1
case,APR 2021,202116,all_ages_adj,Janssen,2029,4648735,206848,108312320,43.64628227,190.9736584,4.375485115,39.59975493,191.7804242,4.842969976,1
case,APR 2021,202116,all_ages_adj,Moderna,2202,21812396,206848,108312320,10.09517707,190.9736584,18.91731636,14.49317328,191.7804242,13.23246611,1
case,APR 2021,202116,all_ages_adj,Pfizer,4146,25542156,206848,108312320,16.23198919,190.9736584,11.76526526,17.08395645,191.7804242,11.22576171,1
case,APR 2021,202117,12-17,all_types,24,137801,24494,16766839,17.41641933,146.0859736,8.387830522,,,,0
case,APR 2021,202117,18-29,all_types,943,5186308,49243,26418809,18.18249128,186.3937167,10.25127491,,,,0
case,APR 2021,202117,30-49,all_types,2678,13832403,64986,33594172,19.36033819,193.4442677,9.991781435,,,,0
case,APR 2021,202117,50-64,all_types,2313,15593884,30221,18045364,14.83273827,167.4723768,11.29072554,,,,0
case,APR 2021,202117,65-79,all_types,1977,19345500,10223,6161434,10.21943088,165.9191675,16.23565632,,,,0
case,APR 2021,202117,80+,all_types,971,6003038,2530,2189295,16.17514332,115.5623157,7.144438441,,,,0
