"id","name","medals","country"
"gonzarez","ササエタマエ","116","JP"
"kamekame365","かめじい","41","JP"
"Ash_05","シュー","24","JP"
"haruusasa","うささ","363","JP"
"ochagama","ちゃがま","358","JP"
"hikarukinnpatu","ヒカル","94","JP"
"parukata","ハルカナ","48","JP"
"ted.sachie","ニセルト","62","JP"
"sato1969NO","はぴねす!","113","JP"
"konacocco","こな","96","JP"
"Nontan","のんたん","10","JP"
"sin1409","ゆでたまご","62","JP"
"FIRE-M","フィレ","10","JP"
"FUGISEN","めいたんていコナソ","62","JP"
"enn31415","フォックス","11","JP"
"laboratelier","はにぐら","11","JP"
"LARK_MILDS_1031","[DIY]Japan","34","JP"
"kingofcoasters","ホワイトサイクロン","14","JP"
"kyokooooo","あすかちゃんねる","19","JP"
"542492","ナイロンぶくろ","15","JP"
"hanaharopoo","イカみぃ","10","JP"
"motty555","リアルパックマン","105","JP"
"1892LiverpoolFC","すみれ","46","JP"
"denden64","ひろき","42","JP"
"dr3462","だん","8","JP"
"KOUSUKE61","Motty","9","JP"
"fuya0924","ふーや","12","JP"
"RichterBelmont01","IGA","15","JP"
"kkm3412","ジン","34","JP"
"Kengo0623","パナップがすきなひと","13","JP"
"nyaromeron","ねこメロン","13","JP"
"nekotannn","ネコタン","15","JP"
"bell_uri","べるり","25","JP"
"ushizawa","うしざわ","12","JP"
"hhhhhh0405","BlueピカチュウZ","27","JP"
"mario-tomoya","ともやん(れいやん)","18","JP"
"itiendamanourami","c4zR592v8J","32","JP"
"ss991000","Gonta","7","JP"
"swakawaka","Rody","22","JP"
"Makyon","ま","8","JP"
"kouyabouhu","こうや　とうふ","16","JP"
"gy8ldq4i1nx","モデステ","22","JP"
"tachikikinse","ふるい","21","JP"
"Andy-3412","ANDY","14","JP"
"akinosuzume","あきのすずめ","11","JP"
"matcha88","まっちゃ","9","JP"
"606060","60、","8","JP"
"ryousuke080927","りょう*","43","JP"
"truesound","りらつくま","21","JP"
"kensin_9.1","Eiyu","12","JP"
"rikuta06","リアルナメコ","15","JP"
"happy_maron","マロン","22","JP"
"shouhei4528","たわし","10","JP"
"negitendo","ねぎちん","11","JP"
"fdgbvcxw","mkmk","12","JP"
"ONSUTEIGI100","りゅうマロンちゃん♪","23","JP"
"tmayataro","けんじ","13","JP"
"LittleYetCirnon","Chara","7","JP"
"okap108","オカピスタン","7","JP"
"a13b225k","らりやとづ","11","JP"
"realpac2","セカンダリパックマン","14","JP"
"Greenlemon48","レモン","22","JP"
"takehana","たけはな","9","JP"
"Kogepan0222","こげぱん。","13","JP"
"kei0054","けいりん","12","JP"
"Yuuzqh","にせちゃがま","12","JP"
"qumosand115","マーブル","15","JP"
"424010","Gold Mario","10","JP"
"kiyohinaasa","スピラン+ASA","29","JP"
"poteto0204","JK:おたま","11","JP"
"MITSUISEU","ダークゾンビEX","17","JP"
"tdtuyd123","【MC】*ヨミ*","14","JP"
"kinositakoudai","κίлоκо.","112","JP"
"nicoyy0207","ゆう","8","JP"
"KI1DA-TA842","DNT☆","19","JP"
"rituki625","ニノ★0625´ω`","16","JP"
"yukkurimarityan","サクヤ","16","JP"
"super.doldo640","ロナルド","22","JP"
"nanahoshi_puyo","ぬう","9","JP"
"67536753","エーテル1st","19","JP"
"wiiutaka7","ろか　Roca","25","JP"
"higezou","ひげぞう","14","JP"
"peach777PEACH","ぴーちPEACH","13","JP"
"yre71617","ZERO","11","JP"
"MEGA.Piyo-258","ごりり","10","JP"
"1989yuta","キーちゃん","12","JP"
"oosetsumo","よしひこ☆3せい ♂","17","JP"
"M_Moriyana","M.M","6","JP"
"mariyuuma","◇You◇/wiiu","15","JP"
"kazu6359","カズ","21","JP"
"631864","△リンク△","12","JP"
"Euph-Reime","Euphonium3","11","JP"
"nyanko7.teacher","バタコ♪ (^ω^)","14","JP"
"shirokuro116","マル(*σvσ)","10","JP"
"massa0130","マサ","20","JP"
"takuma5304","TAKUMA","6","JP"
"kawauchi9424","Y-08","10","JP"
"umecchi","chihiro","16","JP"
"IIKO.11","こにゅん","18","JP"
"maleflat","オムライス","15","JP"
