"id","name","theme","created","difficulty","tag","liked","played","shared","clear_rate","tries_taken","tries_success","author_id"
"635C-0000-0045-AF89","全自動マリオカート　Automatic Mario Kart","mario_bros","2015-09-17 00:00","Easy","Automatic","192550","1594405","3","58.94","2452152","1445493","gonzarez"
"4B37-0000-0010-6C26","恐怖を捨ててひたすらBダッシュ！ Keep running!","mario_bros","2015-09-10 00:00","Easy","Dash","131173","1051857","0","49.95","1932804","965504","kamekame365"
"6BC6-0000-000F-86F4","SONIC1 MEMORY","mario_bros","2015-09-09 00:00","Easy","Costume","43028","437556","0","52.84","746149","394332","Ash_05"
"1693-0000-012C-5105","100人マリオ　クリア記念コース　扉に入れば全自動","mario_bros","2015-12-24 00:00","Easy","Automatic","30495","336371","0","42.17","583221","245992","haruusasa"
"FFA2-0000-0152-2442","妹作一画面全自動_¢(*・∀・*)Automatic","mario_bros","2015-12-29 00:00","Easy","Automatic","24955","237582","0","52.9","379523","200777","haruusasa"
"FEB8-0000-0063-4410","全自動ポケモン　ヒガナ戦Pokemon Zinnia Theme","mario_bros","2015-09-23 00:00","Easy","Music","24225","282740","0","66.63","380714","253681","ochagama"
"EB89-0000-00AE-A1D7","全自動3(スーパー玉乗りピカチュウ)","mario_bros","2015-10-17 00:00","Easy","Automatic","22491","171025","0","47.65","281157","133991","haruusasa"
"EAC3-0000-0076-365B","半自動(最後まで走れ)","mario_bros","2015-09-27 00:00","Easy","Dash","21709","185722","0","44.19","346923","153310","haruusasa"
"ECCB-0000-007B-F416","カノン演奏","mario_bros","2015-09-29 00:00","Easy","Music","17072","159725","0","94.14","167396","157597","ochagama"
"E7B4-0000-00BA-5A36","家泣き子　帰る場所がわからない全自動マリオ　Auto Mario","mario_bros","2015-10-22 00:00","Easy","","16173","119239","0","66.37","163883","108780","hikarukinnpatu"
"1F23-0000-0115-9D37","スプラトゥーンフェス/イカが歌えば世界が踊る　Splatfest","mario_bros","2015-12-12 00:00","Easy","Thumbnail","13618","176420","0","23.28","272852","63546","parukata"
"C222-0000-0196-F2C3","やべぇートイレー　走ってトイレに行け！！ダッシュダッシュダッシュ","mario_bros","2016-01-17 00:00","Easy","Dash","10995","147032","0","70.88","198632","140806","ted.sachie"
"118A-0000-00C6-0148","破天荒な全自動マリオ2 Automatic Mario","mario_bros","2015-10-27 00:00","Easy","Automatic","9051","68646","0","56.23","106936","60139","hikarukinnpatu"
"B9D2-0000-00E5-DA43","圧縮バネの威力","mario_bros","2015-11-12 00:00","Easy","","8903","112534","0","93.14","120036","111802","hikarukinnpatu"
"DDB2-0000-00E5-51E0","クリア不可避!抗えないマリオくん。","mario_bros","2015-11-12 00:00","Easy","","7941","139225","0","92.86","149610","138939","hikarukinnpatu"
"3ACC-0000-018F-FAA1","クリアするとマリオが消えるステージ！wwww","mario_bros","2016-01-15 00:00","Easy","","7675","112780","0","99.51","113283","112728","ted.sachie"
"8892-0000-0312-F611","どんどん突き進もう♪ スピードラン♪ Speed Run♪","mario_bros","2017-03-20 00:00","Easy","Dash","7305","74279","0","66.51","100791","67037","sato1969NO"
"589D-0000-01E6-F8B2","2-1 おかしな　おかしのおか/Sweet Street","mario_bros","2016-03-04 00:00","Easy","Thumbnail","7022","49577","1","50.97","83846","42739","konacocco"
"0283-0000-000F-64A0","キノコがほしい!","mario_bros","2015-09-09 00:00","Easy","Gimmick","4498","30291","0","92.81","31834","29546","Nontan"
"E131-0000-0195-8878","土管に入ってゴールを目指せ！！","mario_bros","2016-01-17 00:00","Easy","","4167","70260","0","99.16","70810","70219","ted.sachie"
"3BD1-0000-0168-2B1B","-バネを使った全自動-","mario_bros","2016-01-02 00:00","Easy","","4016","63860","0","94.38","67402","63619","sin1409"
"9B50-0000-01C9-7080","射止めて! あの子の♥は誰のもの?　Valentine Game","mario_bros","2016-02-13 00:00","Easy","Thumbnail","3984","34167","0","38.07","61274","23328","parukata"
"9007-0000-0013-5AD9","はしれ!大王イカ!","mario_bros","2015-09-11 00:00","Easy","Dash","3821","35752","0","53.26","60240","32085","parukata"
"0CE6-0000-00CD-76C2","おいでよ　ピカチュウのもり　~PIKACHU　FOREST~","mario_bros","2015-10-31 00:00","Easy","Thumbnail","3809","32237","0","45.04","49386","22248","parukata"
"337D-0000-01A7-6452","Wario's Adventure2　走れワリオ！古代遺跡大脱出","mario_bros","2016-01-24 00:00","Easy","Dash","3800","19771","5","53.27","28805","15346","FIRE-M"
"A7CE-0000-033B-7F79","何個押されると思ってるの!「35億」ブルゾンちえみwithB♪","mario_bros","2017-06-19 00:00","Easy","","3670","42257","0","83.22","49401","41113","FUGISEN"
"9676-0000-010A-A2A1","ゼルダの伝説/森の大樹　ZELDA ~Great Tree~","mario_bros","2015-12-05 00:00","Easy","Thumbnail","3636","24420","0","40.1","41837","16779","parukata"
"871D-0000-0045-7D66","メイドインワリオ","mario_bros","2015-09-17 00:00","Easy","Costume","3516","30664","1","51.24","52321","26814","enn31415"
"AFBB-0000-0084-04CD","自分を見失わないで","mario_bros","2015-10-02 00:00","Easy","Gimmick","3443","17732","1","44.72","27462","12281","laboratelier"
"E5DF-0000-02C4-493D","マリオの口から体内に潜入だ！　MARIO in the body","mario_bros","2016-11-27 00:00","Easy","","3404","30610","0","66.23","40228","26643","LARK_MILDS_1031"
