Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Elton Brand,1999,1,1,2000,2016,1058.0,34910.0,6599.0,13185.0,2.0,21.0,3627.0,4929.0,3304.0,9040.0,2184.0,940.0,1828.0,2060.0,3115.0,16827.0,.500,.095,.736,33.0,15.9,8.5,2.1
Grant Hill *,1994,1,3,1995,2013,1026.0,34776.0,6345.0,13126.0,219.0,697.0,4228.0,5498.0,1176.0,6169.0,4252.0,1248.0,576.0,2459.0,2377.0,17137.0,.483,.314,.769,33.9,16.7,6.0,4.1
Mike Dunleavy,2002,1,3,2003,2017,986.0,27340.0,3935.0,8926.0,1304.0,3460.0,1874.0,2333.0,698.0,4211.0,2185.0,719.0,324.0,1369.0,1986.0,11048.0,.441,.377,.803,27.7,11.2,4.3,2.2
Shane Battier,2001,1,6,2002,2014,977.0,30004.0,2982.0,6819.0,1250.0,3254.0,1194.0,1606.0,1273.0,4082.0,1717.0,988.0,906.0,878.0,2208.0,8408.0,.437,.384,.743,30.7,8.6,4.2,1.8
J.J. Redick,2006,1,11,2007,2021,940.0,23964.0,4009.0,8976.0,1950.0,4704.0,2060.0,2310.0,172.0,1903.0,1862.0,420.0,88.0,1040.0,1417.0,12028.0,.447,.415,.892,25.5,12.8,2.0,2.0
Mike Gminski,1980,1,7,1981,1994,938.0,24058.0,4208.0,9047.0,6.0,49.0,2531.0,3002.0,2082.0,6480.0,1203.0,507.0,989.0,1368.0,1574.0,10953.0,.465,.122,.843,25.6,11.7,6.9,1.3
Danny Ferry,1989,1,2,1991,2003,917.0,18133.0,2505.0,5615.0,677.0,1724.0,752.0,895.0,647.0,2550.0,1185.0,384.0,292.0,811.0,1964.0,6439.0,.446,.393,.840,19.8,7.0,2.8,1.3
Luol Deng,2004,1,7,2005,2019,902.0,30941.0,5130.0,11257.0,658.0,1982.0,2443.0,3175.0,1462.0,5468.0,2042.0,880.0,444.0,1459.0,1499.0,13361.0,.456,.332,.769,34.3,14.8,6.1,2.3
Christian Laettner,1992,1,3,1993,2005,868.0,25760.0,4036.0,8405.0,92.0,353.0,2957.0,3604.0,1621.0,5806.0,2224.0,917.0,675.0,1932.0,2768.0,11121.0,.480,.261,.820,29.7,12.8,6.7,2.6
Carlos Boozer,2002,2,35,2003,2015,861.0,26901.0,5847.0,11221.0,1.0,14.0,2281.0,3158.0,2037.0,8192.0,1928.0,765.0,346.0,1824.0,2612.0,13976.0,.521,.071,.722,31.2,16.2,9.5,2.2
Jack Marin,1966,1,5,1967,1977,849.0,24590.0,5068.0,10890.0,,,2405.0,2852.0,259.0,4405.0,1813.0,155.0,59.0,,2416.0,12541.0,.465,,.843,29.0,14.8,5.2,2.1
Corey Maggette,1999,1,13,2000,2013,827.0,23358.0,4065.0,8969.0,463.0,1431.0,4605.0,5599.0,915.0,4022.0,1696.0,590.0,139.0,1874.0,2338.0,13198.0,.453,.324,.822,28.2,16.0,4.9,2.1
Jeff Mullins,1964,1,6,1965,1976,804.0,24574.0,5383.0,11631.0,,,2251.0,2764.0,144.0,3427.0,3023.0,140.0,37.0,,2165.0,13017.0,.463,,.814,30.6,16.2,4.3,3.8
