Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Dan Issel *,1970,8,122,1971,1985,1218.0,41784.0,10431.0,20904.0,29.0,142.0,6591.0,8315.0,3696.0,11133.0,2907.0,943.0,532.0,2490.0,3504.0,27482.0,.499,,.793,34.3,22.6,9.1,2.4
Tayshaun Prince,2002,1,23,2003,2016,1017.0,31576.0,4583.0,10082.0,569.0,1550.0,1537.0,2033.0,1125.0,4332.0,2406.0,571.0,500.0,1064.0,1251.0,11272.0,.455,.367,.756,31.0,11.1,4.3,2.4
Nazr Mohammed,1998,1,29,1999,2016,1005.0,15891.0,2402.0,4939.0,0.0,8.0,1023.0,1599.0,1808.0,4708.0,375.0,432.0,639.0,919.0,2156.0,5827.0,.486,.000,.640,15.8,5.8,4.7,0.4
Louie Dampier *,1967,4,38,1968,1979,960.0,32201.0,5982.0,13465.0,794.0,2217.0,2521.0,3075.0,514.0,2543.0,4687.0,407.0,153.0,1989.0,1852.0,15279.0,.444,,.820,33.5,15.9,2.6,4.9
Rajon Rondo,2006,1,21,2007,2022,957.0,28570.0,3886.0,8516.0,449.0,1384.0,1116.0,1826.0,910.0,4349.0,7584.0,1518.0,125.0,2586.0,1997.0,9337.0,.456,.324,.611,29.9,9.8,4.5,7.9
Antoine Walker,1996,1,6,1997,2008,893.0,31531.0,6085.0,14710.0,1386.0,4264.0,2091.0,3303.0,1894.0,6891.0,3170.0,1085.0,469.0,2504.0,2516.0,15647.0,.414,.325,.633,35.3,17.5,7.7,3.5
Cliff Hagan *,1953,3,,1957,1970,839.0,24074.0,5750.0,12661.0,0.0,5.0,3370.0,4219.0,47.0,5555.0,2646.0,,,294.0,2665.0,14870.0,.454,,.799,28.7,17.7,6.6,3.2
Adrian Smith,1958,15,86,1962,1972,772.0,19010.0,3174.0,7389.0,2.0,11.0,2400.0,2865.0,14.0,1626.0,1739.0,,,34.0,1829.0,8750.0,.430,,.838,24.6,11.3,2.1,2.3
Eric Bledsoe,2010,1,18,2011,2022,756.0,21021.0,3689.0,8169.0,854.0,2545.0,2116.0,2698.0,570.0,2937.0,3545.0,1028.0,344.0,1888.0,1493.0,10348.0,.452,.336,.784,27.8,13.7,3.9,4.7
Patrick Patterson,2010,1,14,2011,2021,719.0,14923.0,1871.0,4185.0,630.0,1709.0,410.0,543.0,822.0,2799.0,736.0,368.0,296.0,450.0,1116.0,4782.0,.447,.369,.755,20.8,6.7,3.9,1.0
Jamaal Magloire,2000,1,19,2001,2012,680.0,14621.0,1763.0,3675.0,0.0,7.0,1391.0,2176.0,1418.0,4408.0,386.0,224.0,603.0,998.0,1792.0,4917.0,.480,.000,.639,21.5,7.2,6.5,0.6
Kevin Grevey,1975,1,18,1976,1985,672.0,15246.0,2915.0,6670.0,145.0,434.0,1389.0,1701.0,590.0,1594.0,1247.0,392.0,112.0,748.0,1286.0,7364.0,.437,,.817,22.7,11.0,2.4,1.9
Keith Bogans,2003,2,43,2004,2014,671.0,14527.0,1482.0,3759.0,714.0,2020.0,579.0,809.0,391.0,1817.0,866.0,429.0,68.0,574.0,1223.0,4257.0,.394,.353,.716,21.6,6.3,2.7,1.3
Rex Chapman,1988,1,8,1989,2000,666.0,19542.0,3716.0,8638.0,805.0,2301.0,1494.0,1868.0,379.0,1645.0,1798.0,592.0,129.0,1030.0,1228.0,9731.0,.430,.350,.800,29.3,14.6,2.5,2.7
Anthony Davis,2012,1,1,2013,2023,660.0,22709.0,5917.0,11396.0,311.0,1038.0,3696.0,4661.0,1713.0,6865.0,1562.0,883.0,1527.0,1301.0,1565.0,15841.0,.519,.300,.793,34.4,24.0,10.4,2.4
DeMarcus Cousins,2010,1,5,2011,2022,654.0,19509.0,4562.0,9924.0,426.0,1288.0,3252.0,4411.0,1692.0,6664.0,1979.0,874.0,742.0,2149.0,2421.0,12802.0,.460,.331,.737,29.8,19.6,10.2,3.0
John Wall,2010,1,1,2011,2023,647.0,22588.0,4373.0,10171.0,651.0,2021.0,2691.0,3468.0,361.0,2704.0,5735.0,1045.0,439.0,2412.0,1394.0,12088.0,.430,.322,.776,34.9,18.7,4.2,8.9
Frank Ramsey *,1953,1,6,1955,1964,623.0,15330.0,2949.0,7382.0,,,2480.0,3083.0,,3410.0,1134.0,,,,2158.0,8378.0,.399,,.804,24.6,13.4,5.5,1.8
Derek Anderson,1997,1,13,1998,2008,615.0,17975.0,2419.0,5922.0,645.0,1891.0,1874.0,2198.0,440.0,1988.0,2083.0,691.0,87.0,1052.0,1230.0,7357.0,.408,.341,.853,29.2,12.0,3.2,3.4
Jamal Mashburn,1993,1,4,1994,2004,611.0,22762.0,4277.0,10222.0,767.0,2226.0,2323.0,3032.0,697.0,3271.0,2414.0,632.0,109.0,1585.0,1533.0,11644.0,.418,.345,.766,37.3,19.1,5.4,4.0
Larry Steele,1971,3,37,1972,1980,610.0,14777.0,2020.0,4180.0,0.0,4.0,969.0,1218.0,428.0,1781.0,1719.0,846.0,96.0,195.0,1832.0,5009.0,.483,,.796,24.2,8.2,2.9,2.8
