Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Tony Allen,2004,1,25,2005,2018,820.0,18055.0,2588.0,5447.0,125.0,444.0,1353.0,1909.0,1021.0,2884.0,1077.0,1158.0,337.0,1118.0,1947.0,6654.0,.475,.282,.709,22.0,8.1,3.5,1.3
Desmond Mason,2000,1,17,2001,2010,643.0,19641.0,2931.0,6535.0,66.0,254.0,1839.0,2485.0,804.0,2863.0,1049.0,441.0,230.0,1032.0,1432.0,7767.0,.449,.260,.740,30.5,12.1,4.5,1.6
Marcus Smart,2014,1,6,2015,2023,581.0,17441.0,2065.0,5349.0,911.0,2819.0,1100.0,1416.0,481.0,2058.0,2700.0,914.0,214.0,1082.0,1505.0,6141.0,.386,.323,.777,30.0,10.6,3.5,4.6
Bryant Reeves,1995,1,6,1996,2001,395.0,12071.0,1999.0,4208.0,2.0,27.0,945.0,1345.0,856.0,2745.0,623.0,200.0,302.0,744.0,1365.0,4945.0,.475,.074,.703,30.6,12.5,6.9,1.6
Joey Graham,2005,1,16,2006,2011,377.0,6117.0,857.0,1776.0,54.0,180.0,471.0,578.0,272.0,1058.0,207.0,134.0,43.0,309.0,804.0,2239.0,.483,.300,.815,16.2,5.9,2.8,0.5
Bob Harris,1949,1,3,1950,1954,325.0,5768.0,804.0,2091.0,,,601.0,957.0,,1824.0,502.0,,,,1003.0,2209.0,.385,,.628,27.9,6.8,6.9,1.5
James Anderson,2010,1,20,2011,2016,247.0,4320.0,525.0,1276.0,196.0,611.0,176.0,233.0,108.0,560.0,291.0,121.0,55.0,216.0,292.0,1422.0,.411,.321,.755,17.5,5.8,2.3,1.2
Byron Houston,1992,1,27,1993,1996,214.0,2674.0,307.0,673.0,10.0,39.0,211.0,312.0,237.0,648.0,114.0,103.0,86.0,173.0,543.0,835.0,.456,.256,.676,12.5,3.9,3.0,0.5
Brooks Thompson,1994,1,27,1995,1998,168.0,1714.0,278.0,679.0,149.0,396.0,55.0,85.0,30.0,158.0,281.0,87.0,5.0,154.0,229.0,760.0,.409,.376,.647,10.2,4.5,0.9,1.7
Markel Brown,2014,2,44,2015,2018,113.0,1794.0,205.0,539.0,56.0,190.0,118.0,151.0,40.0,234.0,132.0,69.0,27.0,83.0,157.0,584.0,.380,.295,.781,15.9,5.2,2.1,1.2
Richard Dumas,1991,2,46,1993,1996,102.0,2226.0,434.0,852.0,3.0,13.0,209.0,301.0,160.0,351.0,111.0,137.0,47.0,150.0,228.0,1080.0,.509,.231,.694,21.8,10.6,3.4,1.1
Cade Cunningham,2021,1,1,2022,2023,76.0,2488.0,522.0,1255.0,131.0,424.0,178.0,211.0,70.0,428.0,428.0,88.0,50.0,273.0,234.0,1353.0,.416,.309,.844,32.7,17.8,5.6,5.6
Jawun Evans,2017,2,39,2018,2019,56.0,843.0,92.0,267.0,15.0,57.0,38.0,49.0,10.0,96.0,110.0,39.0,6.0,50.0,105.0,237.0,.345,.263,.776,15.1,4.2,1.7,2.0
Leroy Combs,1983,2,26,1984,1984,48.0,446.0,81.0,163.0,0.0,3.0,56.0,91.0,19.0,56.0,38.0,23.0,18.0,46.0,49.0,218.0,.497,.000,.615,9.3,4.5,1.2,0.8
