Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
James Edwards,1977,3,46,1978,1996,1168.0,28356.0,5802.0,11724.0,1.0,21.0,3257.0,4666.0,1804.0,6004.0,1499.0,420.0,867.0,1931.0,4042.0,14862.0,.495,,.698,24.3,12.7,5.1,1.3
Detlef Schrempf,1985,1,8,1986,2001,1136.0,33597.0,5400.0,10995.0,475.0,1236.0,4486.0,5585.0,1871.0,7023.0,3833.0,856.0,312.0,2268.0,3360.0,15761.0,.491,.384,.803,29.6,13.9,6.2,3.4
Terrence Ross,2012,1,8,2013,2023,733.0,17956.0,2940.0,7032.0,1329.0,3673.0,838.0,1001.0,256.0,2061.0,936.0,587.0,231.0,700.0,1230.0,8047.0,.418,.362,.837,24.5,11.0,2.8,1.3
Steve Hawes,1972,2,24,1975,1984,688.0,15831.0,2337.0,4836.0,14.0,47.0,1080.0,1367.0,1232.0,4272.0,1288.0,518.0,314.0,821.0,1886.0,5768.0,.483,,.790,23.0,8.4,6.2,1.9
Spencer Hawes,2007,1,10,2008,2017,684.0,15541.0,2451.0,5363.0,359.0,1026.0,671.0,937.0,991.0,3893.0,1271.0,264.0,652.0,971.0,1709.0,5932.0,.457,.350,.716,22.7,8.7,5.7,1.9
Nate Robinson,2005,1,21,2006,2016,618.0,13878.0,2458.0,5811.0,811.0,2255.0,1080.0,1357.0,385.0,1446.0,1826.0,543.0,42.0,876.0,1482.0,6807.0,.423,.360,.796,22.5,11.0,2.3,3.0
Isaiah Thomas,2011,2,60,2012,2022,550.0,15563.0,3167.0,7291.0,1042.0,2876.0,2339.0,2682.0,284.0,1321.0,2638.0,472.0,61.0,1242.0,1146.0,9715.0,.434,.362,.872,28.3,17.7,2.4,4.8
Jack Nichols,1948,1,12,1949,1958,505.0,10703.0,2022.0,5493.0,,,1225.0,1628.0,,2793.0,965.0,,,,1518.0,5269.0,.368,,.752,26.9,10.4,6.9,1.9
Dejounte Murray,2016,1,29,2017,2023,394.0,10950.0,2240.0,4896.0,351.0,1048.0,677.0,863.0,376.0,2309.0,1988.0,567.0,103.0,754.0,702.0,5508.0,.458,.335,.784,27.8,14.0,5.9,5.0
Charles Dudley,1972,5,76,1973,1979,361.0,6337.0,686.0,1380.0,,,536.0,798.0,403.0,1089.0,1230.0,284.0,13.0,227.0,722.0,1908.0,.497,,.672,17.6,5.3,3.0,3.4
Quincy Pondexter,2010,1,26,2011,2019,355.0,5530.0,571.0,1351.0,211.0,593.0,256.0,343.0,200.0,640.0,263.0,122.0,49.0,178.0,464.0,1609.0,.423,.356,.746,15.6,4.5,1.8,0.7
Brandon Roy,2006,1,6,2007,2013,326.0,11561.0,2224.0,4849.0,322.0,925.0,1366.0,1707.0,347.0,1388.0,1517.0,335.0,76.0,595.0,630.0,6136.0,.459,.348,.800,35.5,18.8,4.3,4.7
George Irvine,1970,8,125,1971,1976,325.0,6451.0,1274.0,2462.0,37.0,135.0,508.0,615.0,341.0,959.0,428.0,60.0,28.0,399.0,842.0,3093.0,.517,.274,.826,19.8,9.5,3.0,1.3
Marquese Chriss,2016,1,8,2017,2022,292.0,5338.0,830.0,1822.0,161.0,555.0,385.0,577.0,362.0,1366.0,298.0,187.0,227.0,348.0,738.0,2206.0,.456,.290,.667,18.3,7.6,4.7,1.0
Lorenzo Romar,1980,7,141,1981,1985,291.0,5188.0,720.0,1553.0,19.0,90.0,272.0,363.0,66.0,385.0,1022.0,244.0,29.0,350.0,393.0,1731.0,.464,.211,.749,17.8,5.9,1.3,3.5
Bob Houbregs *,1953,1,3,1954,1958,281.0,6725.0,906.0,2245.0,,,799.0,1108.0,,1552.0,500.0,,,,690.0,2611.0,.404,,.721,23.9,9.3,5.5,1.8
Matisse Thybulle,2019,1,20,2020,2023,267.0,5470.0,474.0,1061.0,198.0,592.0,86.0,130.0,156.0,522.0,270.0,397.0,221.0,146.0,539.0,1232.0,.447,.334,.662,20.5,4.6,2.0,1.0
Louie Nelson,1973,2,19,1974,1978,224.0,4947.0,819.0,1874.0,,,475.0,644.0,197.0,527.0,436.0,202.0,21.0,48.0,437.0,2113.0,.437,,.738,22.1,9.4,2.4,1.9
Todd MacCulloch,1999,2,47,2000,2003,223.0,3439.0,568.0,1049.0,0.0,0.0,233.0,363.0,340.0,888.0,121.0,61.0,177.0,154.0,478.0,1369.0,.541,,.642,15.4,6.1,4.0,0.5
Jaden McDaniels,2020,1,28,2021,2023,212.0,5730.0,789.0,1637.0,259.0,719.0,190.0,260.0,220.0,832.0,298.0,161.0,190.0,234.0,668.0,2027.0,.482,.360,.731,27.0,9.6,3.9,1.4
Markelle Fultz,2017,1,1,2018,2023,191.0,5029.0,942.0,1996.0,75.0,270.0,301.0,410.0,156.0,659.0,964.0,234.0,53.0,386.0,387.0,2260.0,.472,.278,.734,26.3,11.8,3.5,5.0
Isaiah Stewart,2020,1,16,2021,2023,189.0,4685.0,671.0,1340.0,103.0,314.0,248.0,344.0,500.0,1473.0,211.0,81.0,198.0,220.0,528.0,1693.0,.501,.328,.721,24.8,9.0,7.8,1.1
Jaylen Nowell,2019,2,43,2020,2023,184.0,3137.0,637.0,1426.0,183.0,568.0,210.0,263.0,80.0,401.0,343.0,94.0,28.0,132.0,257.0,1667.0,.447,.322,.798,17.0,9.1,2.2,1.9
Jon Brockman,2009,2,38,2010,2012,150.0,1570.0,118.0,242.0,0.0,1.0,84.0,136.0,212.0,472.0,49.0,33.0,9.0,57.0,267.0,320.0,.488,.000,.618,10.5,2.1,3.1,0.3
Pétur Guðmundsson,1981,3,61,1982,1989,150.0,2060.0,251.0,508.0,1.0,2.0,190.0,252.0,166.0,563.0,153.0,35.0,96.0,195.0,400.0,693.0,.494,.500,.754,13.7,4.6,3.8,1.0
Tony Wroten,2012,1,25,2013,2016,145.0,3076.0,575.0,1393.0,84.0,363.0,370.0,572.0,106.0,363.0,437.0,137.0,28.0,375.0,268.0,1604.0,.413,.231,.647,21.2,11.1,2.5,3.0
Chris Welp,1987,1,16,1988,1990,109.0,1173.0,140.0,314.0,0.0,1.0,79.0,116.0,88.0,265.0,43.0,34.0,54.0,66.0,259.0,359.0,.446,.000,.681,10.8,3.3,2.4,0.4
Bobby Jones,2006,2,37,2007,2008,91.0,867.0,103.0,233.0,19.0,62.0,63.0,92.0,51.0,149.0,44.0,26.0,4.0,46.0,144.0,288.0,.442,.306,.685,9.5,3.2,1.6,0.5
C.J. Wilcox,2014,1,28,2015,2017,66.0,376.0,50.0,135.0,19.0,57.0,13.0,16.0,6.0,31.0,30.0,15.0,4.0,18.0,30.0,132.0,.370,.333,.813,5.7,2.0,0.5,0.5
Rich Manning,1993,2,40,1996,1997,55.0,512.0,81.0,195.0,2.0,5.0,18.0,28.0,32.0,94.0,10.0,7.0,8.0,24.0,66.0,182.0,.415,.400,.643,9.3,3.3,1.7,0.2
Lars Hansen,"1976, 1977","3, 7","37, 151",1979,1979,30.0,410.0,58.0,114.0,,,36.0,62.0,44.0,118.0,28.0,2.0,2.0,18.0,56.0,152.0,.509,,.581,13.7,5.1,3.9,0.9
Phil Zevenbergen,1987,3,50,1988,1988,8.0,58.0,15.0,27.0,0.0,0.0,0.0,2.0,4.0,13.0,3.0,3.0,1.0,4.0,12.0,30.0,.556,,.000,7.3,3.8,1.6,0.4
Gary Anderson,1974,5,85,,,,,,,,,,,,,,,,,,,,,,,,,
Ralph Bishop,1947,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruno Boin,"1958, 1959","8, 10","63, 69",,,,,,,,,,,,,,,,,,,,,,,,,
Jay Bond,1970,15,214,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Burks,1982,8,180,,,,,,,,,,,,,,,,,,,,,,,,,
Dan Caldwell,1982,3,52,,,,,,,,,,,,,,,,,,,,,,,,,
Dave Carr,1968,14,174,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Cipriano,1953,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Fortier,1986,5,104,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Fronk,1981,6,129,,,,,,,,,,,,,,,,,,,,,,,,,
Andra Griffin,1981,5,99,,,,,,,,,,,,,,,,,,,,,,,,,
Frank Guisness,1952,5,,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Hanson,1962,6,46,,,,,,,,,,,,,,,,,,,,,,,,,
Gordon Harris,1967,6,67,,,,,,,,,,,,,,,,,,,,,,,,,
Ken Lyles,1982,9,199,,,,,,,,,,,,,,,,,,,,,,,,,
Lynn Nance,1965,4,35,,,,,,,,,,,,,,,,,,,,,,,,,
Dean Parsons,1955,8,60,,,,,,,,,,,,,,,,,,,,,,,,,
Larry Pounds,1975,5,87,,,,,,,,,,,,,,,,,,,,,,,,,
Ray Price,1974,4,64,,,,,,,,,,,,,,,,,,,,,,,,,
Clarence Ramsey,1976,4,54,,,,,,,,,,,,,,,,,,,,,,,,,
Harold Rhodes,1977,8,167,,,,,,,,,,,,,,,,,,,,,,,,,
Mark Sanford,1997,2,31,,,,,,,,,,,,,,,,,,,,,,,,,
Doug Smart,1959,7,50,,,,,,,,,,,,,,,,,,,,,,,,,
George Spencer,1967,19,161,,,,,,,,,,,,,,,,,,,,,,,,,
Kim Stewart,1978,6,126,,,,,,,,,,,,,,,,,,,,,,,,,
Bill Vandenburgh,1949,6,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Watson,1983,5,109,,,,,,,,,,,,,,,,,,,,,,,,,
