Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Dominique Wilkins *,1982,1,3,1983,1999,1074.0,38113.0,9963.0,21589.0,711.0,2231.0,6031.0,7438.0,2950.0,7169.0,2677.0,1378.0,642.0,2669.0,2061.0,26668.0,.461,.319,.811,35.5,24.8,6.7,2.5
Vern Fleming,1984,1,18,1985,1996,893.0,24721.0,3964.0,7954.0,38.0,210.0,2159.0,2826.0,979.0,3012.0,4293.0,926.0,105.0,1795.0,2003.0,10125.0,.498,.181,.764,27.7,11.3,3.4,4.8
Kentavious Caldwell-Pope,2013,1,8,2014,2023,759.0,22355.0,3118.0,7348.0,1295.0,3544.0,1202.0,1477.0,458.0,2356.0,1333.0,860.0,189.0,786.0,1399.0,8733.0,.424,.365,.814,29.5,11.5,3.1,1.8
Shandon Anderson,1996,2,54,1997,2006,719.0,15946.0,1996.0,4366.0,307.0,972.0,1028.0,1392.0,583.0,2252.0,1007.0,556.0,180.0,958.0,1437.0,5327.0,.457,.316,.739,22.2,7.4,3.1,1.4
Willie Anderson,1988,1,10,1989,1997,555.0,15974.0,2804.0,5952.0,99.0,372.0,1064.0,1353.0,550.0,2082.0,2105.0,594.0,342.0,1163.0,1500.0,6771.0,.471,.266,.786,28.8,12.2,3.8,3.8
Tim Bassett,1973,7,106,1974,1980,473.0,11230.0,1220.0,2883.0,4.0,14.0,489.0,831.0,1149.0,3148.0,576.0,358.0,227.0,473.0,1264.0,2933.0,.423,,.588,23.7,6.2,6.7,1.2
Jumaine Jones,1999,1,27,2000,2007,471.0,9780.0,1294.0,3052.0,425.0,1218.0,312.0,443.0,552.0,1987.0,408.0,307.0,144.0,388.0,870.0,3325.0,.424,.349,.704,20.8,7.1,4.2,0.9
Jarvis Hayes,2003,1,10,2004,2010,427.0,9898.0,1397.0,3363.0,392.0,1101.0,367.0,460.0,244.0,1330.0,459.0,312.0,56.0,374.0,852.0,3553.0,.415,.356,.798,23.2,8.3,3.1,1.1
Anthony Edwards,2020,1,1,2021,2023,223.0,7622.0,1761.0,3997.0,599.0,1700.0,750.0,974.0,168.0,1137.0,836.0,312.0,140.0,609.0,479.0,4871.0,.441,.352,.770,34.2,21.8,5.1,3.7
Alec Kessler,1990,1,12,1991,1994,210.0,2937.0,425.0,998.0,10.0,24.0,224.0,301.0,258.0,751.0,81.0,39.0,71.0,192.0,451.0,1084.0,.426,.417,.744,14.0,5.2,3.6,0.4
Nic Claxton,2019,2,31,2020,2023,170.0,4026.0,709.0,1044.0,2.0,14.0,229.0,424.0,337.0,1176.0,231.0,113.0,288.0,161.0,404.0,1649.0,.679,.143,.540,23.7,9.7,6.9,1.4
Litterial Green,1992,2,39,1993,1999,148.0,1189.0,144.0,343.0,2.0,26.0,133.0,200.0,24.0,75.0,182.0,49.0,6.0,78.0,124.0,423.0,.420,.077,.665,8.0,2.9,0.5,1.2
Jacky Dorsey,1976,2,26,1978,1981,60.0,449.0,56.0,144.0,0.0,0.0,31.0,57.0,46.0,141.0,16.0,12.0,6.0,28.0,89.0,143.0,.389,,.544,7.5,2.4,2.4,0.3
Herb White,1970,8,133,1971,1971,38.0,315.0,34.0,84.0,,,22.0,39.0,,48.0,47.0,,,,62.0,90.0,.405,,.564,8.3,2.4,1.3,1.2
Trey Thompkins,2011,2,37,2012,2012,24.0,119.0,24.0,61.0,4.0,13.0,5.0,7.0,4.0,24.0,3.0,3.0,3.0,6.0,10.0,57.0,.393,.308,.714,5.0,2.4,1.0,0.1
Travis Leslie,2011,2,47,2012,2012,10.0,45.0,5.0,14.0,0.0,0.0,4.0,9.0,6.0,9.0,5.0,2.0,2.0,2.0,4.0,14.0,.357,,.444,4.5,1.4,0.9,0.5
Cedric Henderson,1986,2,32,1987,1987,8.0,16.0,4.0,8.0,0.0,0.0,3.0,3.0,3.0,8.0,0.0,0.0,0.0,4.0,2.0,11.0,.500,,1.000,2.0,1.4,1.0,0.0
Charles Claxton,1994,2,50,1996,1996,3.0,7.0,1.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,4.0,2.0,.500,,.000,2.3,0.7,0.7,0.0
James Banks,1984,3,48,,,,,,,,,,,,,,,,,,,,,,,,,
Terrell Bell,1996,2,50,,,,,,,,,,,,,,,,,,,,,,,,,
Gerald Crosby,1985,6,117,,,,,,,,,,,,,,,,,,,,,,,,,
Walter Daniels,1979,3,60,,,,,,,,,,,,,,,,,,,,,,,,,
Terry Fair,1983,4,72,,,,,,,,,,,,,,,,,,,,,,,,,
John Fraley,1973,15,195,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Healey,1950,8,96,,,,,,,,,,,,,,,,,,,,,,,,,
Lamar Heard,1983,10,225,,,,,,,,,,,,,,,,,,,,,,,,,
Ronnie Hogue,1973,7,116,,,,,,,,,,,,,,,,,,,,,,,,,
Ray Jeffords,1968,19,211,,,,,,,,,,,,,,,,,,,,,,,,,
Chad Kessler,1987,5,93,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Lienhard,1970,4,61,,,,,,,,,,,,,,,,,,,,,,,,,
Toney Mack,1989,2,54,,,,,,,,,,,,,,,,,,,,,,,,,
Eric Marbury,1982,6,117,,,,,,,,,,,,,,,,,,,,,,,,,
LaVon Mercer,1980,3,60,,,,,,,,,,,,,,,,,,,,,,,,,
Zippy Morocco,1953,5,,,,,,,,,,,,,,,,,,,,,,,,,,
James Pitts,1965,15,105,,,,,,,,,,,,,,,,,,,,,,,,,
David Reavis,1977,4,83,,,,,,,,,,,,,,,,,,,,,,,,,
Bob Schloss,1951,3,29,,,,,,,,,,,,,,,,,,,,,,,,,
Joe Ward,1986,2,31,,,,,,,,,,,,,,,,,,,,,,,,,
Dennis Willliams,1987,5,96,,,,,,,,,,,,,,,,,,,,,,,,,
Rashad Wright,2004,2,59,,,,,,,,,,,,,,,,,,,,,,,,,
