Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Paul Pierce *,1998,1,10,1999,2017,1343.0,45880.0,8668.0,19465.0,2143.0,5816.0,6918.0,8578.0,1092.0,7527.0,4708.0,1752.0,745.0,3532.0,3643.0,26397.0,.445,.368,.806,34.2,19.7,5.6,3.5
Wilt Chamberlain *,1959,1,3,1960,1973,1045.0,47859.0,12681.0,23497.0,,,6057.0,11862.0,,23924.0,4643.0,,,,2075.0,31419.0,.540,,.511,45.8,30.1,22.9,4.4
Dave Robisch,1971,3,44,1972,1984,930.0,22780.0,3997.0,8620.0,0.0,14.0,2587.0,3241.0,1992.0,6173.0,1655.0,382.0,366.0,986.0,2069.0,10581.0,.464,,.798,24.5,11.4,6.6,1.8
Bill Bridges,1961,3,32,1963,1975,926.0,30878.0,4181.0,9463.0,,,2650.0,3824.0,257.0,11054.0,2553.0,69.0,36.0,,3375.0,11012.0,.442,,.693,33.3,11.9,11.9,2.8
Nick Collison,2003,1,12,2005,2018,910.0,18603.0,2212.0,4146.0,21.0,101.0,914.0,1265.0,1766.0,4701.0,939.0,446.0,469.0,878.0,2507.0,5359.0,.534,.208,.723,20.4,5.9,5.2,1.0
Danny Manning,1988,1,1,1989,2003,883.0,24202.0,5026.0,9835.0,41.0,199.0,2274.0,3120.0,1523.0,4615.0,2063.0,1000.0,752.0,1853.0,2895.0,12367.0,.511,.206,.729,27.4,14.0,5.2,2.3
Kirk Hinrich,2003,1,7,2004,2016,879.0,27015.0,3503.0,8522.0,1172.0,3122.0,1416.0,1770.0,310.0,2576.0,4245.0,972.0,243.0,1617.0,2487.0,9594.0,.411,.375,.800,30.7,10.9,2.9,4.8
Jo Jo White *,1969,1,9,1970,1981,837.0,29941.0,6169.0,13884.0,1.0,6.0,2060.0,2471.0,472.0,3345.0,4095.0,686.0,112.0,504.0,2056.0,14399.0,.444,,.834,35.8,17.2,4.0,4.9
Drew Gooden,2002,1,4,2003,2016,790.0,20127.0,3432.0,7435.0,88.0,342.0,1701.0,2239.0,1878.0,5618.0,896.0,544.0,474.0,1158.0,1957.0,8653.0,.462,.257,.760,25.5,11.0,7.1,1.1
Marcus Morris,2011,1,14,2012,2023,783.0,21281.0,3532.0,8129.0,1252.0,3328.0,1333.0,1724.0,678.0,3556.0,1199.0,530.0,225.0,912.0,1684.0,9649.0,.434,.376,.773,27.2,12.3,4.5,1.5
