Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Shaquille O'Neal *,1992,1,1,1993,2011,1207.0,41918.0,11330.0,19457.0,1.0,22.0,5935.0,11252.0,4209.0,13099.0,3026.0,739.0,2732.0,3310.0,4146.0,28596.0,.582,.045,.527,34.7,23.7,10.9,2.5
Bob Pettit *,1954,1,2,1955,1965,792.0,30690.0,7349.0,16872.0,,,6182.0,8119.0,,12849.0,2369.0,,,,2529.0,20880.0,.436,,.761,38.8,26.4,16.2,3.0
Brandon Bass,2005,2,33,2006,2017,758.0,16410.0,2558.0,5125.0,12.0,58.0,1447.0,1740.0,1139.0,3448.0,608.0,295.0,479.0,718.0,1375.0,6575.0,.499,.207,.832,21.6,8.7,4.5,0.8
Pete Maravich *,1970,1,3,1971,1980,658.0,24316.0,6187.0,14025.0,10.0,15.0,3564.0,4344.0,426.0,2747.0,3563.0,587.0,108.0,530.0,1865.0,15948.0,.441,,.820,37.0,24.2,4.2,5.4
Mahmoud Abdul-Rauf,1990,1,3,1991,2001,586.0,15628.0,3514.0,7943.0,474.0,1339.0,1051.0,1161.0,219.0,1087.0,2079.0,487.0,46.0,963.0,1106.0,8553.0,.442,.354,.905,26.7,14.6,1.9,3.5
Stromile Swift,2000,1,2,2001,2009,547.0,10804.0,1713.0,3623.0,2.0,27.0,1154.0,1650.0,885.0,2535.0,275.0,354.0,683.0,690.0,1357.0,4582.0,.473,.074,.699,19.8,8.4,4.6,0.5
Glen Davis,2007,2,35,2008,2015,514.0,10865.0,1614.0,3611.0,10.0,55.0,873.0,1247.0,731.0,2236.0,457.0,357.0,173.0,528.0,1238.0,4111.0,.447,.182,.700,21.1,8.0,4.4,0.9
Marcus Thornton,2009,2,43,2010,2017,483.0,11299.0,2124.0,5003.0,735.0,2051.0,767.0,924.0,407.0,1348.0,677.0,405.0,61.0,491.0,739.0,5750.0,.425,.358,.830,23.4,11.9,2.8,1.4
Jerry Reynolds,1985,1,22,1986,1996,443.0,8379.0,1420.0,3399.0,28.0,124.0,1168.0,1560.0,467.0,1317.0,904.0,486.0,250.0,718.0,677.0,4036.0,.418,.226,.749,18.9,9.1,3.0,2.0
John Williams,1986,1,12,1987,1995,435.0,10952.0,1769.0,3921.0,65.0,289.0,803.0,1140.0,632.0,2201.0,1262.0,566.0,184.0,684.0,1020.0,4406.0,.451,.225,.704,25.2,10.1,5.1,2.9
Tyrus Thomas,2006,1,4,2007,2015,402.0,7932.0,1147.0,2620.0,8.0,34.0,791.0,1080.0,550.0,1938.0,347.0,328.0,525.0,527.0,989.0,3093.0,.438,.235,.732,19.7,7.7,4.8,0.9
Ben Simmons,2016,1,1,2018,2023,317.0,10431.0,1917.0,3423.0,5.0,36.0,834.0,1411.0,563.0,2480.0,2383.0,518.0,223.0,1022.0,916.0,4673.0,.560,.139,.591,32.9,14.7,7.8,7.5
Stanley Roberts,1991,1,23,1992,2000,300.0,5869.0,1059.0,2124.0,0.0,2.0,437.0,850.0,506.0,1549.0,189.0,110.0,385.0,370.0,1060.0,2555.0,.499,.000,.514,19.6,8.5,5.2,0.6
Anthony Randolph,2008,1,14,2009,2014,252.0,3841.0,677.0,1494.0,20.0,83.0,415.0,561.0,335.0,1078.0,187.0,150.0,224.0,298.0,456.0,1789.0,.453,.241,.740,15.2,7.1,4.3,0.7
Kenny Higgs,1978,3,57,1979,1982,216.0,4435.0,538.0,1221.0,8.0,55.0,386.0,480.0,65.0,391.0,944.0,239.0,23.0,369.0,682.0,1470.0,.441,,.804,20.5,6.8,1.8,4.4
Randy Livingston,1996,2,42,1997,2007,203.0,2684.0,304.0,749.0,34.0,97.0,131.0,170.0,74.0,282.0,415.0,121.0,31.0,223.0,297.0,773.0,.406,.351,.771,13.2,3.8,1.4,2.0
Jarell Martin,2015,1,25,2016,2019,184.0,2927.0,376.0,867.0,63.0,182.0,183.0,239.0,189.0,639.0,114.0,67.0,73.0,144.0,411.0,998.0,.434,.346,.766,15.9,5.4,3.5,0.6
Rudy Macklin,1981,3,52,1982,1984,160.0,2752.0,392.0,874.0,0.0,7.0,246.0,317.0,203.0,464.0,121.0,82.0,30.0,207.0,431.0,1030.0,.449,.000,.776,17.2,6.4,2.9,0.8
Johnny O'Bryant,2014,2,36,2015,2018,147.0,1684.0,213.0,530.0,18.0,50.0,65.0,98.0,129.0,352.0,69.0,32.0,19.0,77.0,199.0,509.0,.402,.360,.663,11.5,3.5,2.4,0.5
Cam Thomas,2021,1,27,2022,2023,124.0,2124.0,419.0,959.0,98.0,307.0,238.0,279.0,24.0,256.0,156.0,53.0,15.0,118.0,121.0,1174.0,.437,.319,.853,17.1,9.5,2.1,1.3
Justin Hamilton,2012,2,45,2014,2017,113.0,1961.0,268.0,577.0,68.0,220.0,83.0,104.0,132.0,403.0,91.0,61.0,73.0,73.0,169.0,687.0,.464,.309,.798,17.4,6.1,3.6,0.8
Glenn Hansen,1975,2,31,1976,1978,112.0,1447.0,240.0,582.0,,,108.0,149.0,106.0,247.0,93.0,61.0,16.0,1.0,191.0,588.0,.412,,.725,12.9,5.3,2.2,0.8
Jabari Smith,2000,2,45,2001,2005,108.0,1063.0,125.0,303.0,1.0,8.0,78.0,113.0,49.0,178.0,66.0,37.0,26.0,54.0,166.0,329.0,.413,.125,.690,9.8,3.0,1.6,0.6
