Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Rich Jones,"1968, 1969","4, 5","49, 58",1970,1977,1016.0,33982.0,6306.0,15006.0,262.0,864.0,2970.0,3862.0,2240.0,7518.0,2788.0,554.0,154.0,2142.0,3536.0,15844.0,.420,,.769,33.4,15.6,7.4,2.7
Lorenzen Wright,1996,1,7,1997,2009,778.0,18535.0,2556.0,5573.0,2.0,29.0,1077.0,1670.0,1688.0,4943.0,622.0,471.0,572.0,877.0,2276.0,6191.0,.459,.069,.645,23.8,8.0,6.4,0.8
Larry Kenon,1973,3,50,1974,1983,752.0,24510.0,5476.0,11238.0,2.0,14.0,2000.0,2550.0,2303.0,6701.0,1672.0,952.0,247.0,1800.0,1723.0,12954.0,.487,,.784,32.6,17.2,8.9,2.2
Anfernee Hardaway,1993,1,3,1994,2008,704.0,23711.0,3995.0,8731.0,503.0,1591.0,2191.0,2831.0,975.0,3146.0,3525.0,1125.0,312.0,1786.0,1562.0,10684.0,.458,.316,.774,33.7,15.2,4.5,5.0
Derrick Rose,2008,1,1,2009,2023,699.0,21655.0,4845.0,10633.0,575.0,1825.0,2117.0,2548.0,546.0,2279.0,3692.0,528.0,240.0,1715.0,866.0,12382.0,.456,.315,.831,31.0,17.7,3.3,5.3
Will Barton,2012,2,40,2013,2023,679.0,17116.0,2824.0,6561.0,893.0,2516.0,1084.0,1377.0,471.0,2792.0,1817.0,504.0,272.0,948.0,1050.0,7625.0,.430,.355,.787,25.2,11.2,4.1,2.7
Tyreke Evans,2009,1,4,2010,2019,594.0,18242.0,3510.0,7978.0,500.0,1548.0,1827.0,2415.0,500.0,2720.0,2852.0,734.0,222.0,1489.0,1308.0,9347.0,.440,.323,.757,30.7,15.7,4.6,4.8
Elliot Perry,1991,2,37,1992,2002,549.0,9501.0,1353.0,2945.0,138.0,384.0,605.0,773.0,185.0,742.0,1699.0,574.0,20.0,780.0,707.0,3449.0,.459,.359,.783,17.3,6.3,1.4,3.1
Vincent Askew,1987,2,39,1988,1998,467.0,9361.0,1215.0,2534.0,76.0,253.0,805.0,1068.0,400.0,1176.0,1017.0,304.0,106.0,503.0,972.0,3311.0,.479,.300,.754,20.0,7.1,2.5,2.2
Shawne Williams,2006,1,17,2007,2015,314.0,5368.0,650.0,1612.0,275.0,812.0,194.0,257.0,247.0,945.0,220.0,127.0,156.0,197.0,656.0,1769.0,.403,.339,.755,17.1,5.6,3.0,0.7
Rodney Carney,2006,1,16,2007,2011,299.0,4600.0,675.0,1599.0,200.0,591.0,228.0,324.0,164.0,588.0,132.0,159.0,100.0,157.0,420.0,1778.0,.422,.338,.704,15.4,5.9,2.0,0.4
Win Wilfong,1957,1,4,1958,1961,268.0,4810.0,684.0,1897.0,,,458.0,616.0,,910.0,565.0,,,,649.0,1826.0,.361,,.744,17.9,6.8,3.4,2.1
Cedric Henderson,1997,2,45,1998,2002,260.0,6182.0,783.0,1797.0,6.0,43.0,313.0,438.0,170.0,755.0,419.0,228.0,111.0,401.0,578.0,1885.0,.436,.140,.715,23.8,7.3,2.9,1.6
Mike Butler,1968,10,121,1969,1972,245.0,4554.0,790.0,2010.0,172.0,596.0,406.0,469.0,64.0,375.0,504.0,,,335.0,483.0,2158.0,.393,.289,.866,18.6,8.8,1.5,2.1
William Bedford,1986,1,6,1987,1993,238.0,2514.0,405.0,974.0,7.0,22.0,147.0,243.0,201.0,573.0,109.0,37.0,126.0,173.0,358.0,964.0,.416,.318,.605,10.6,4.1,2.4,0.5
Chris Douglas-Roberts,2008,2,40,2009,2015,222.0,4381.0,574.0,1309.0,84.0,255.0,339.0,408.0,83.0,472.0,254.0,128.0,55.0,200.0,287.0,1571.0,.439,.329,.831,19.7,7.1,2.1,1.1
Hank McDowell,1981,5,102,1982,1987,206.0,1857.0,229.0,508.0,0.0,7.0,142.0,200.0,186.0,464.0,98.0,34.0,29.0,131.0,274.0,600.0,.451,.000,.710,9.0,2.9,2.3,0.5
Precious Achiuwa,2020,1,20,2021,2023,189.0,3602.0,585.0,1235.0,85.0,265.0,221.0,365.0,319.0,1009.0,161.0,88.0,99.0,186.0,344.0,1476.0,.474,.321,.605,19.1,7.8,5.3,0.9
Keith Lee,1985,1,11,1986,1989,182.0,2907.0,456.0,1012.0,2.0,12.0,200.0,268.0,282.0,861.0,178.0,74.0,110.0,216.0,489.0,1114.0,.451,.167,.746,16.0,6.1,4.7,1.0
Andre Turner,1986,3,69,1987,1992,170.0,2523.0,307.0,727.0,14.0,59.0,139.0,182.0,62.0,263.0,535.0,137.0,3.0,212.0,205.0,767.0,.422,.237,.764,14.8,4.5,1.5,3.1
