Player,Year,Rd,Overall,From,To,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP/G,PTS/G,TRB/G,AST/G
Andre Miller,1999,1,8,2000,2016,1304.0,40268.0,6035.0,13104.0,193.0,888.0,4015.0,4975.0,1373.0,4795.0,8524.0,1546.0,227.0,3121.0,2882.0,16278.0,.461,.217,.807,30.9,12.5,3.7,6.5
Tom Chambers,1981,1,8,1982,1998,1107.0,33922.0,7378.0,15749.0,227.0,740.0,5066.0,6274.0,1942.0,6703.0,2283.0,885.0,627.0,2549.0,3742.0,20049.0,.468,.307,.807,30.6,18.1,6.1,2.1
Mike Newlin,1971,2,24,1972,1982,837.0,24574.0,4720.0,10133.0,62.0,205.0,3005.0,3456.0,559.0,2494.0,3364.0,702.0,58.0,878.0,2542.0,12507.0,.466,,.870,29.4,14.9,3.0,4.0
Andrew Bogut,2005,1,1,2006,2019,705.0,19862.0,2986.0,5585.0,3.0,25.0,833.0,1495.0,1754.0,6112.0,1546.0,442.0,1091.0,1204.0,2186.0,6808.0,.535,.120,.557,28.2,9.7,8.7,2.2
Michael Doleac,1998,1,12,1999,2008,587.0,8789.0,1246.0,2838.0,1.0,8.0,389.0,492.0,582.0,1955.0,343.0,200.0,209.0,376.0,1315.0,2882.0,.439,.125,.791,15.0,4.9,3.3,0.6
Keith Van Horn,1997,1,2,1998,2006,575.0,18150.0,3396.0,7659.0,597.0,1655.0,1817.0,2177.0,1122.0,3909.0,900.0,472.0,295.0,1262.0,1736.0,9206.0,.443,.361,.835,31.6,16.0,6.8,1.6
Danny Vranes,1981,1,5,1982,1988,510.0,10624.0,1056.0,2131.0,2.0,19.0,499.0,875.0,763.0,1998.0,594.0,333.0,270.0,519.0,1368.0,2613.0,.496,.105,.570,20.8,5.1,3.9,1.2
Jakob Poeltl,2016,1,9,2017,2023,488.0,10315.0,1737.0,2766.0,2.0,4.0,456.0,851.0,1269.0,3177.0,798.0,280.0,610.0,533.0,1154.0,3932.0,.628,.500,.536,21.1,8.1,6.5,1.6
Delon Wright,2015,1,20,2016,2023,461.0,9798.0,1218.0,2675.0,317.0,898.0,568.0,706.0,380.0,1498.0,1440.0,566.0,165.0,441.0,505.0,3321.0,.455,.353,.805,21.3,7.2,3.2,3.1
Kyle Kuzma,2017,1,27,2018,2023,406.0,12638.0,2525.0,5629.0,798.0,2364.0,845.0,1166.0,433.0,2579.0,998.0,231.0,213.0,836.0,850.0,6693.0,.449,.338,.725,31.1,16.5,6.4,2.5
Jerry Chambers,1966,1,7,1967,1974,320.0,5155.0,1115.0,2534.0,2.0,10.0,435.0,562.0,120.0,1032.0,270.0,11.0,3.0,83.0,639.0,2667.0,.440,,.774,16.1,8.3,3.2,0.8
Bill McGill,1962,1,1,1963,1970,295.0,5097.0,1270.0,2469.0,0.0,0.0,554.0,790.0,200.0,1286.0,330.0,,,233.0,796.0,3094.0,.514,,.701,17.3,10.5,4.4,1.1
Jeff Judkins,1978,2,30,1979,1983,272.0,3421.0,596.0,1248.0,23.0,73.0,267.0,329.0,163.0,427.0,282.0,147.0,26.0,214.0,431.0,1482.0,.478,,.812,12.6,5.4,1.6,1.0
Merv Jackson,1968,9,120,1969,1973,262.0,6890.0,1162.0,2826.0,51.0,152.0,657.0,804.0,330.0,860.0,813.0,,,538.0,825.0,3032.0,.411,.336,.817,26.3,11.6,3.3,3.1
Pace Mannion,1983,2,43,1984,1989,216.0,2125.0,257.0,623.0,16.0,79.0,130.0,196.0,88.0,259.0,231.0,107.0,21.0,132.0,238.0,660.0,.413,.203,.663,9.8,3.1,1.2,1.1
Mike Sojourner,1974,1,10,1975,1977,191.0,4282.0,721.0,1502.0,,,216.0,322.0,371.0,1237.0,172.0,88.0,106.0,,457.0,1658.0,.480,,.671,22.4,8.7,6.5,0.9
Arnie Ferrin,1948,3,,1949,1951,178.0,,381.0,1147.0,,,275.0,401.0,,271.0,278.0,,,,509.0,1037.0,.332,,.686,,5.8,4.0,1.6
Hanno Möttölä,2000,2,40,2001,2002,155.0,2360.0,292.0,661.0,1.0,16.0,130.0,166.0,130.0,442.0,75.0,31.0,28.0,137.0,337.0,715.0,.442,.063,.783,15.2,4.6,2.9,0.5
Vern Gardner,1949,1,6,1950,1952,151.0,507.0,514.0,1493.0,,,311.0,416.0,,349.0,245.0,,,,445.0,1339.0,.344,,.748,18.8,8.9,4.0,1.6
Ticky Burden,1975,2,26,1976,1978,134.0,2804.0,710.0,1601.0,8.0,36.0,334.0,454.0,134.0,268.0,194.0,151.0,10.0,181.0,277.0,1762.0,.443,,.736,20.9,13.1,2.0,1.4
Josh Grant,1993,2,43,1994,1994,53.0,382.0,59.0,146.0,17.0,61.0,22.0,29.0,27.0,89.0,24.0,18.0,8.0,30.0,62.0,157.0,.404,.279,.759,7.2,3.0,1.7,0.5
Ken Gardner,1971,5,82,1976,1976,9.0,51.0,6.0,18.0,0.0,0.0,2.0,2.0,8.0,13.0,3.0,2.0,1.0,1.0,9.0,14.0,.333,,1.000,5.7,1.6,1.4,0.3
Greg Deane,1979,4,67,1980,1980,7.0,48.0,2.0,11.0,1.0,1.0,5.0,7.0,2.0,6.0,6.0,0.0,0.0,3.0,3.0,10.0,.182,1.000,.714,6.9,1.4,0.9,0.9
