country,year,balance,texp,trg,dp,dnd,trd,pop1564,pop65,lgdp_pc,gdp_rhp,Elect,Elect_old,Elect_ND1,Elect_ND2,Elect_ND3,Elect_ND4,Elect_ND_LATER,Elect-pres,Elect-parl,Elect-prop,Elect-maj,Elect-endog,Elect-pred,Elect-half1,Elect-half2,Elect-low,Elect-high,class-New,class-Old,class-Not transition,class-Developed
ARGENTINA,1960,,,,,,15.208,63.679,5.546,8.123855,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0
ARGENTINA,1961,,,,,,11.99,63.485,5.66,8.158516,2.55644,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0
ARGENTINA,1962,,,,,,14.076,63.414,5.788,8.133588,2.889713,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0
ARGENTINA,1963,,,,,,15.781,63.425,5.926,8.064008,3.251701,1,0,0,0,0,0,0,1,0,0,1,0,1,,,0,0,1,0,1,0
ARGENTINA,1964,,,,,,11.127,63.487,6.072,8.14642,3.633703,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0
ARGENTINA,1965,,,,,,10.376,63.573,6.225,8.232972,3.941421,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0
ARGENTINA,1966,,,,,,11.643,63.64,6.368,8.212568,4.145519,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0
ARGENTINA,1967,,,,,,12.493,63.694,6.514,8.229777,4.282937,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0
ARGENTINA,1968,,,,,,11.888,63.723,6.661,8.262559,4.34256,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0
ARGENTINA,1969,,,,,,12.797,63.719,6.808,8.339978,4.302364,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0
ARGENTINA,1970,,,,,,10.337,63.681,6.954,8.354439,4.145119,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0
ARGENTINA,1971,,,,,,12.615,63.572,7.073,8.392763,3.897562,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0
ARGENTINA,1972,,,,,,14.036,63.459,7.193,8.391857,3.575437,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0
ARGENTINA,1973,,,,1,,13.322,63.355,7.317,8.402679,3.212094,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
ARGENTINA,1974,,,,1,,13.192,63.267,7.446,8.440096,2.821409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ARGENTINA,1975,,,,1,,11.803,63.203,7.579,8.423542,2.413255,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
ARGENTINA,1976,,,,,,15.097,62.791,7.678,8.411388,2.024634,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,1,0,1,0
