Country,Constitutional form,GDP per Capita
Qatar,Absolute monarchy,"143,788.20"
Luxembourg,Constitutional monarchy,"101,926.40"
Singapore,Republic,"85,208.80"
Kuwait,Constitutional monarchy,"71,312.00"
Brunei,Absolute monarchy,"70,817.00"
United Arab Emirates,Absolute monarchy,"70,237.90"
Norway,Constitutional monarchy,"61,471.60"
Switzerland,Republic,"60,535.20"
United States,Republic,"55,836.80"
Ireland,Republic,"54,654.40"
Saudi Arabia,Absolute monarchy,"53,430.00"
Netherlands,Constitutional monarchy,"48,458.90"
Austria,Republic,"47,824.20"
Germany,Republic,"47,268.40"
Bahrain,Constitutional monarchy,"46,946.30"
Denmark,Constitutional monarchy,"46,635.20"
Iceland,Republic,"46,547.00"
Sweden,Constitutional monarchy,"46,420.40"
Australia,Constitutional monarchy,"45,514.20"
Canada,Constitutional monarchy,"44,310.10"
Belgium,Constitutional monarchy,"43,991.60"
United Kingdom,Constitutional monarchy,"41,324.60"
Finland,Republic,"40,600.90"
France,Republic,"39,678.00"
Oman,Absolute monarchy,"38,234.10"
Japan,Constitutional monarchy,"37,321.60"
New Zealand,Constitutional monarchy,"36,982.30"
Italy,Republic,"35,896.50"
Israel,Republic,"35,431.60"
"Korea, South",Republic,"34,549.20"
Spain,Constitutional monarchy,"34,526.50"
Trinidad and Tobago,Republic,"32,596.50"
Czech Republic,Republic,"32,167.10"
Slovenia,Republic,"31,122.40"
Cyprus,Republic,"30,734.20"
Equatorial Guinea,Republic,"30,040.70"
Portugal,Republic,"29,214.30"
Slovakia,Republic,"28,877.30"
Estonia,Republic,"28,094.80"
Lithuania,Republic,"27,729.80"
Seychelles,Republic,"27,273.50"
Malaysia,Constitutional monarchy,"26,891.40"
Greece,Republic,"26,680.10"
Poland,Republic,"26,135.30"
Kazakhstan,Republic,"25,876.50"
Hungary,Republic,"25,581.50"
Russia,Republic,"24,451.40"
Latvia,Republic,"24,286.10"
"Bahamas, The",Constitutional monarchy,"23,795.40"
Antigua and Barbuda,Constitutional monarchy,"22,967.70"
Chile,Republic,"22,316.20"
Panama,Republic,"22,192.10"
Croatia,Republic,"21,880.50"
Romania,Republic,"21,403.10"
Uruguay,Republic,"21,200.60"
Gabon,Republic,"20,010.10"
Turkey,Republic,"19,618.20"
Mauritius,Republic,"19,480.50"
Azerbaijan,Republic,"17,740.00"
Belarus,Republic,"17,660.90"
Bulgaria,Republic,"17,511.80"
Mexico,Republic,"17,276.60"
Suriname,Republic,"16,969.50"
Turkmenistan,Republic,"16,498.90"
Barbados,Constitutional monarchy,"16,390.90"
Thailand,n/a,"16,305.50"
Botswana,Republic,"15,807.10"
Montenegro,Republic,"15,485.80"
Costa Rica,Republic,"15,377.20"
Brazil,Republic,"15,359.30"
Palau,Republic,"15,286.00"
Iraq,Republic,"14,894.80"
Algeria,Republic,"14,687.40"
"China, People's Republic of",Republic,"14,238.70"
Dominican Republic,Republic,"14,211.70"
Libya,n/a,"14,154.30"
Lebanon,Republic,"13,937.90"
Macedonia,Republic,"13,907.90"
Colombia,Republic,"13,800.80"
Serbia,Republic,"13,481.90"
South Africa,Republic,"13,165.10"
Grenada,Constitutional monarchy,"12,966.90"
Maldives,Republic,"12,636.50"
Peru,Republic,"12,402.40"
Mongolia,Republic,"12,188.60"
Sri Lanka,Republic,"11,738.90"
Tunisia,Republic,"11,397.20"
Ecuador,Republic,"11,388.20"
Albania,Republic,"11,305.40"
Dominica,Republic,"11,277.90"
Indonesia,Republic,"11,035.10"
Egypt,Republic,"10,891.30"
Jordan,Constitutional monarchy,"10,880.30"
Bosnia and Herzegovina,Republic,"10,509.70"
Namibia,Republic,"10,414.00"
Georgia,Republic,"9,679.20"
Paraguay,Republic,"9,184.50"
Fiji,Republic,"9,159.00"
Jamaica,Constitutional monarchy,"9,062.50"
El Salvador,Republic,"8,602.10"
Belize,Constitutional monarchy,"8,526.90"
Swaziland,Absolute monarchy,"8,426.50"
Armenia,Republic,"8,393.50"
Bhutan,Constitutional monarchy,"8,077.00"
Ukraine,Republic,"7,915.90"
Morocco,Constitutional monarchy,"7,821.40"
Guatemala,Republic,"7,706.70"
Guyana,Republic,"7,506.40"
Angola,Republic,"7,371.00"
Philippines,Republic,"7,358.80"
Bolivia,Republic,"6,880.90"
India,Republic,"6,088.60"
Vietnam,Republic,"6,022.60"
Uzbekistan,Republic,"5,995.90"
Nigeria,Republic,"5,991.70"
Samoa,Republic,"5,922.80"
Laos,Republic,"5,675.50"
Nicaragua,Republic,"5,189.70"
Honduras,Republic,"5,084.50"
Pakistan,Republic,"5,041.70"
Moldova,Republic,"5,038.50"
Ghana,Republic,"4,200.50"
Sudan,Republic,"4,173.20"
Cambodia,Constitutional monarchy,"3,483.30"
Kyrgyzstan,Republic,"3,426.60"
Bangladesh,Republic,"3,332.80"
Cameroon,Republic,"3,122.60"
Kenya,Republic,"3,082.50"
Tajikistan,Republic,"2,779.90"
Tanzania,Republic,"2,667.30"
Nepal,Republic,"2,458.10"
Senegal,Republic,"2,430.80"
Mali,Republic,"2,428.30"
Solomon Islands,Constitutional monarchy,"2,186.30"
Chad,Republic,"2,171.40"
Benin,Republic,"2,109.80"
Afghanistan,Republic,"1,934.20"
Kiribati,Republic,"1,858.60"
South Sudan,Republic,"1,850.00"
Uganda,Republic,"1,825.30"
Haiti,Republic,"1,762.20"
Rwanda,Republic,"1,758.70"
Burkina Faso,Republic,"1,659.20"
Ethiopia,Republic,"1,625.60"
Sierra Leone,Republic,"1,590.60"
Togo,Republic,"1,459.80"
Madagascar,Republic,"1,459.30"
Guinea-Bissau,Republic,"1,452.80"
Guinea,Republic,"1,206.50"
Mozambique,Republic,"1,185.80"
Malawi,Republic,"1,182.60"
Niger,Republic,953.5
Liberia,Republic,836.2
Congo,Republic,782.8
Burundi,Republic,736.00
Central African Republic,Republic,597.4
Andorra,Constitutional monarchy,
Lesotho,Constitutional monarchy,
Liechtenstein,Constitutional monarchy,
Monaco,Constitutional monarchy,
Papua New Guinea,Constitutional monarchy,
Saint Kitts and Nevis,Constitutional monarchy,
Saint Lucia,Constitutional monarchy,
Saint Vincent and the Grenadines,Constitutional monarchy,
Tonga,Constitutional monarchy,
Tuvalu,Constitutional monarchy,
Argentina,Republic,
Cape Verde,Republic,
Comoros,Republic,
Cuba,Republic,
Côte d'Ivoire,Republic,
Democratic Republic of the Congo,Republic,
Djibouti,Republic,
East Timor,Republic,
Eritrea,Republic,
Federated States of Micronesia,Republic,
"Gambia, The",Republic,
Iran,Republic,
"Korea, North",Republic,
Malta,Republic,
Marshall Islands,Republic,
Mauritania,Republic,
Myanmar,Republic,
Nauru,Republic,
Palestine,Republic,
San Marino,Republic,
Somalia,Republic,
Syria,Republic,
São Tomé and Príncipe,Republic,
Vanuatu,Republic,
Venezuela,Republic,"14,414"
