R1 still black,R1 shaky black,R2 still red,R2 shaky red,R3 still red,R3 shaky black,R4 still black,R4 shaky red,R5 still black,R5 still red,R6 shaky black,R6 shaky red
8,7,1,14,1,14,0,15,1,14,1,14
4,11,1,14,0,15,1,14,1,14,1,14
3,12,1,14,15,0,1,14,0,15,1,14
0,15,3,12,14,1,1,14,0,15,1,14
2,13,0,15,8,7,3,12,0,15,0,15
0,15,5,10,13,2,2,13,0,15,0,15
0,15,2,13,14,1,4,11,1,14,1,14
0,15,2,13,1,14,2,13,1,14,0,15
0,15,2,13,13,2,1,14,0,15,0,15
1,14,3,12,14,1,0,15,1,14,0,15
3,12,1,14,14,1,0,15,0,15,0,15
3,12,1,14,14,1,0,15,1,14,0,15
0,15,2,13,14,1,0,15,2,13,0,15
0,15,0,15,0,15,2,13,1,14,0,15
0,15,2,13,15,0,0,15,1,14,0,15
1,14,0,15,2,13,1,14,1,14,1,14
1,14,0,15,8,7,0,15,2,13,2,13
0,15,0,15,8,7,15,0,3,12,1,14
1,14,1,14,10,5,8,7,0,15,1,14
0,15,0,15,12,3,0,15,0,15,3,12
1,14,0,15,12,3,0,15,0,15,0,15
0,15,0,15,13,2,0,15,0,15,0,15
0,15,0,15,15,0,0,15,0,15,1,14
1,14,1,14,14,1,0,15,0,15,3,12
1,14,0,15,12,3,2,13,0,15,0,15
9,6,11,4,14,1,0,15,1,14,0,15
7,8,1,14,15,0,0,15,0,15,1,14
0,15,0,15,15,0,0,15,0,15,0,15
0,15,0,15,10,5,0,15,0,15,0,15
0,15,0,15,13,2,0,15,1,14,0,15
1,14,0,15,12,3,6,9,1,14,0,15
2,13,0,15,13,2,0,15,4,11,2,13
1,14,0,15,11,4,0,15,15,0,1,14
0,15,0,15,14,1,0,15,6,9,1,14
0,15,0,15,12,3,0,15,0,15,1,14
0,15,2,13,12,3,15,0,15,0,2,13
0,15,1,14,10,5,0,15,0,15,1,14
0,15,1,14,10,5,0,15,0,15,0,15
0,15,0,15,14,1,1,14,0,15,0,15
5,10,3,12,14,1,0,15,0,15,0,15
0,15,1,14,14,1,1,14,2,13,0,15
1,14,2,13,13,2,1,14,3,12,0,15
2,13,2,13,14,1,1,14,3,12,0,15
0,15,2,13,14,1,7,8,1,14,0,15
0,15,2,13,12,3,3,12,4,11,1,14
0,15,2,13,12,3,6,9,2,13,1,14
0,15,3,12,12,3,1,14,1,14,2,13
2,13,0,15,12,3,0,15,0,15,2,13
7,8,0,15,12,3,0,15,0,15,1,14
9,6,0,15,9,6,0,15,0,15,0,15
0,15,0,15,8,7,0,15,0,15,0,15
7,8,0,15,8,7,0,15,0,15,0,15
1,14,0,15,8,7,0,15,0,15,0,15
1,14,1,14,9,6,9,6,1,14,0,15
1,14,1,14,9,6,1,14,1,14,1,14
1,14,1,14,12,3,0,15,0,15,1,14
1,14,2,13,13,2,1,14,1,14,1,14
0,15,3,12,12,3,0,15,0,15,2,13
0,15,4,11,10,5,3,12,0,15,1,14
0,15,4,11,7,8,0,15,0,15,1,14
0,15,10,5,12,3,1,14,2,13,1,14
0,15,0,15,12,3,2,13,2,13,1,14
0,15,0,15,12,3,1,14,1,14,3,12
0,15,0,15,12,3,1,14,1,14,5,10
0,15,1,14,13,2,1,14,1,14,2,13
0,15,1,14,14,1,1,14,1,14,1,14
0,15,2,13,13,2,1,14,1,14,0,15
4,11,2,13,13,2,0,15,2,13,0,15
0,15,2,13,13,2,0,15,0,15,2,13
1,14,2,13,13,2,2,13,0,15,1,14
1,14,0,15,13,2,3,12,3,12,1,14
0,15,0,15,15,0,6,9,3,12,1,14
2,13,0,15,15,0,1,14,0,15,0,15
0,15,0,15,15,0,0,15,1,14,0,15
0,15,0,15,15,0,0,15,0,15,0,15
0,15,0,15,15,0,2,13,0,15,0,15
0,15,0,15,15,0,0,15,0,15,0,15
1,14,1,14,13,2,0,15,0,15,0,15
1,14,0,15,11,4,0,15,0,15,0,15
0,15,1,14,9,6,5,10,1,14,0,15
0,15,2,13,8,7,6,9,1,14,0,15
0,15,0,15,10,5,4,11,2,13,0,15
0,15,2,13,12,3,1,14,1,14,0,15
0,15,2,13,12,3,0,15,1,14,1,14
9,6,1,14,14,1,0,15,1,14,1,14
2,13,1,14,15,0,0,15,2,13,1,14
0,15,0,15,11,4,2,13,2,13,0,15
2,13,0,15,11,4,0,15,3,12,0,15
2,13,0,15,9,6,0,15,4,11,0,15
0,15,0,15,10,5,3,12,2,13,0,15
3,12,0,15,10,5,0,15,2,13,0,15
0,15,4,11,15,0,0,15,2,13,2,13
0,15,12,3,15,0,0,15,1,14,0,15
0,15,1,14,15,0,0,15,0,15,0,15
0,15,1,14,5,10,2,13,0,15,0,15
0,15,0,15,9,6,7,8,0,15,1,14
0,15,0,15,10,5,1,14,2,13,2,13
1,14,0,15,12,3,1,14,3,12,0,15
1,14,0,15,12,3,0,15,1,14,1,14
1,14,1,14,14,1,0,15,0,15,0,15
