YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,MQ,2834,N643MQ,DFW,JAN,0950,,,,,78,,,408,,,1108,,,0,1,B,,,,,
2015,1,1,4,MQ,3295,N826MQ,RDU,JFK,1715,1707,-8,14,1721,110,97,75,427,1836,8,1905,1844,-21,0,0,,,,,,
2015,1,1,4,OO,3498,N218AG,SEA,COS,1925,1920,-5,11,1931,152,153,136,1068,2247,6,2257,2253,-4,0,0,,,,,,
2015,1,10,6,OO,4733,N820SK,SAN,SLC,1018,1014,-4,16,1030,111,111,90,626,1300,5,1309,1305,-4,0,0,,,,,,
2015,1,11,7,DL,1352,N607AT,ATL,LFT,1941,1939,-2,13,1952,107,100,82,503,2014,5,2028,2019,-9,0,0,,,,,,
2015,1,11,7,EV,4914,N860AS,FSM,ATL,1655,1648,-7,11,1659,101,97,77,579,1916,9,1936,1925,-11,0,0,,,,,,
2015,1,11,7,EV,5950,N23139,ORD,XNA,1719,,,,,115,,,522,,,1914,,,0,1,C,,,,,
2015,1,11,7,OO,7376,N685BR,BTM,SLC,0635,0626,-9,8,0634,82,64,51,358,0725,5,0757,0730,-27,0,0,,,,,,
2015,1,13,2,AA,2412,N455AA,CMH,DFW,1525,1510,-15,13,1523,173,162,141,926,1644,8,1718,1652,-26,0,0,,,,,,
2015,1,13,2,EV,2548,N909EV,DFW,BTR,0900,0849,-11,26,0915,74,88,58,383,1013,4,1014,1017,3,0,0,,,,,,
2015,1,14,3,AA,1608,N3KAAA,DFW,SJU,1640,1637,-3,14,1651,263,248,229,2165,2240,5,2303,2245,-18,0,0,,,,,,
2015,1,14,3,AS,583,N587AS,SNA,PDX,1440,1438,-2,8,1446,147,128,118,859,1644,2,1707,1646,-21,0,0,,,,,,
2015,1,14,3,MQ,3682,N522MQ,ATL,LGA,1011,1008,-3,18,1026,135,126,99,762,1205,9,1226,1214,-12,0,0,,,,,,
2015,1,15,4,EV,5384,N186PQ,DTW,MDT,2150,2145,-5,18,2203,87,69,48,371,2251,3,2317,2254,-23,0,0,,,,,,
2015,1,15,4,WN,3120,N265WN,BUR,SMF,0715,0708,-7,12,0720,80,120,102,358,0902,6,0835,0908,33,0,0,,33,0,0,0,0
2015,1,16,5,DL,1539,N6708D,ATL,DEN,2032,2140,68,11,2151,208,171,154,1199,2225,6,2200,2231,31,0,0,,0,0,31,0,0
2015,1,16,5,NK,202,N627NK,DFW,BWI,1346,1339,-7,19,1358,162,172,148,1217,1726,5,1728,1731,3,0,0,,,,,,
2015,1,17,6,EV,4421,N12900,EWR,ORF,1715,1709,-6,16,1725,79,76,54,284,1819,6,1834,1825,-9,0,0,,,,,,
2015,1,17,6,OO,4650,N461SW,DTW,LAN,1230,1226,-4,18,1244,52,42,20,74,1304,4,1322,1308,-14,0,0,,,,,,
2015,1,18,7,B6,447,N665JB,OAK,LGB,0600,0554,-6,10,0604,80,77,62,353,0706,5,0720,0711,-9,0,0,,,,,,
2015,1,18,7,OO,6281,N956SW,DEN,ONT,1122,1128,6,27,1155,142,144,114,819,1249,3,1244,1252,8,0,0,,,,,,
2015,1,19,1,OO,7416,N449SW,MSP,RHI,1418,1415,-3,15,1430,64,53,33,190,1503,5,1522,1508,-14,0,0,,,,,,
2015,1,19,1,WN,260,N639SW,ATL,CMH,0925,0926,1,20,0946,105,99,73,447,1059,6,1110,1105,-5,0,0,,,,,,
2015,1,19,1,WN,3138,N265WN,LAS,ONT,1410,1419,9,14,1433,55,55,37,197,1510,4,1505,1514,9,0,0,,,,,,
2015,1,2,5,WN,1644,N288WN,MCO,MSY,1720,1734,14,17,1751,105,111,89,551,1820,5,1805,1825,20,0,0,,6,0,5,9,0
2015,1,20,2,AA,2317,N3DMAA,ORD,RSW,0730,0725,-5,15,0740,166,159,140,1120,1100,4,1116,1104,-12,0,0,,,,,,
2015,1,20,2,DL,2154,N804DN,LAX,ATL,0600,0557,-3,28,0625,251,249,216,1947,1301,5,1311,1306,-5,0,0,,,,,,
2015,1,20,2,DL,2237,N592NW,SEA,HNL,1830,1824,-6,12,1836,373,357,341,2677,2217,4,2243,2221,-22,0,0,,,,,,
2015,1,20,2,WN,3310,N553WN,STL,MDW,0925,0925,0,9,0934,65,58,43,251,1017,6,1030,1023,-7,0,0,,,,,,
2015,1,20,2,WN,402,N934WN,OAK,LAX,2000,1955,-5,9,2004,75,70,57,337,2101,4,2115,2105,-10,0,0,,,,,,
2015,1,20,2,WN,458,N601WN,MDW,MCI,0805,0800,-5,8,0808,95,81,68,405,0916,5,0940,0921,-19,0,0,,,,,,
2015,1,21,3,EV,4546,N14902,PIA,ORD,1437,1430,-7,12,1442,53,52,33,130,1515,7,1530,1522,-8,0,0,,,,,,
2015,1,21,3,OO,5266,N562SW,MRY,SFO,1125,1116,-9,17,1133,46,48,24,77,1157,7,1211,1204,-7,0,0,,,,,,
2015,1,21,3,US,1731,,PHL,ORD,1135,,,,,143,,,678,,,1258,,,0,1,B,,,,,
2015,1,21,3,WN,398,N743SW,MDW,OMA,0845,0838,-7,24,0902,95,92,66,423,1008,2,1020,1010,-10,0,0,,,,,,
2015,1,22,4,AS,235,N615AS,SFO,PDX,2030,2019,-11,12,2031,96,100,85,550,2156,3,2206,2159,-7,0,0,,,,,,
2015,1,22,4,WN,1892,N789SW,MCO,HOU,1750,1752,2,13,1805,160,172,155,849,1940,4,1930,1944,14,0,0,,,,,,
2015,1,23,5,DL,1828,N990AT,ATL,SAV,0835,0820,-15,24,0844,62,63,35,214,0919,4,0937,0923,-14,0,0,,,,,,
2015,1,23,5,EV,4204,N26545,DTW,EWR,1439,1432,-7,17,1449,111,104,68,488,1557,19,1630,1616,-14,0,0,,,,,,
2015,1,23,5,HA,115,N493HA,OGG,HNL,0736,0732,-4,7,0739,35,38,24,100,0803,7,0811,0810,-1,0,0,,,,,,
2015,1,23,5,MQ,3312,N661MQ,DFW,BPT,1600,1601,1,14,1615,69,74,57,270,1712,3,1709,1715,6,0,0,,,,,,
2015,1,23,5,OO,4782,N912EV,LSE,MSP,0700,0652,-8,23,0715,64,61,30,119,0745,8,0804,0753,-11,0,0,,,,,,
2015,1,24,6,MQ,2993,N933MQ,TVC,ORD,0720,0715,-5,18,0733,90,69,40,224,0713,11,0750,0724,-26,0,0,,,,,,
2015,1,25,7,DL,475,N896AT,JFK,MSP,1600,1605,5,25,1630,206,182,150,1029,1800,7,1826,1807,-19,0,0,,,,,,
2015,1,25,7,EV,4971,N135EV,AUS,DTW,1243,1235,-8,14,1249,167,163,141,1149,1610,8,1630,1618,-12,0,0,,,,,,
2015,1,25,7,OO,5485,N964SW,DEN,TUS,1510,1503,-7,12,1515,124,109,93,639,1648,4,1714,1652,-22,0,0,,,,,,
2015,1,25,7,WN,4833,N716SW,ELP,PHX,1920,1926,6,9,1935,80,65,53,347,2028,3,2040,2031,-9,0,0,,,,,,
2015,1,26,1,AA,1615,N851AA,MIA,DFW,1145,1142,-3,16,1158,202,200,172,1121,1350,12,1407,1402,-5,0,0,,,,,,
2015,1,26,1,UA,637,,EWR,ORD,1505,,,,,154,,,719,,,1639,,,0,1,B,,,,,
2015,1,26,1,US,603,N640AW,PHX,SEA,2112,2113,1,28,2141,187,174,141,1107,2302,5,2319,2307,-12,0,0,,,,,,
2015,1,26,1,WN,993,N207WN,MCO,BWI,1510,1508,-2,11,1519,125,128,114,787,1713,3,1715,1716,1,0,0,,,,,,
2015,1,28,3,B6,115,N294JB,SYR,JFK,0600,0605,5,37,0642,83,91,48,209,0730,6,0723,0736,13,0,0,,,,,,
2015,1,29,4,DL,1164,N372NW,SLC,ONT,2146,2139,-7,14,2153,109,105,85,558,2218,6,2235,2224,-11,0,0,,,,,,
2015,1,29,4,MQ,3431,N823MQ,COU,DFW,0644,0639,-5,12,0651,126,105,76,489,0807,17,0850,0824,-26,0,0,,,,,,
2015,1,3,6,B6,104,N339JB,SJU,JFK,1829,1838,9,19,1857,244,241,214,1598,2131,8,2133,2139,6,0,0,,,,,,
2015,1,3,6,DL,1693,N967AT,ATL,ORD,0942,0953,11,42,1035,128,141,92,606,1107,7,1050,1114,24,0,0,,13,0,11,0,0
2015,1,30,5,DL,2524,N329NB,DLH,MSP,0510,0509,-1,24,0533,70,61,31,144,0604,6,0620,0610,-10,0,0,,,,,,
2015,1,30,5,EV,4457,N11106,ORD,LEX,1310,1301,-9,14,1315,79,64,43,323,1458,7,1529,1505,-24,0,0,,,,,,
2015,1,30,5,EV,5248,N722EV,MDW,MSP,1925,1918,-7,13,1931,95,88,71,349,2042,4,2100,2046,-14,0,0,,,,,,
2015,1,30,5,WN,664,N221WN,DEN,AUS,2055,2105,10,13,2118,130,120,102,775,2400,5,0005,0005,0,0,0,,,,,,
2015,1,31,6,DL,1771,N319NB,MEM,ATL,1311,1311,0,9,1320,78,65,50,332,1510,6,1529,1516,-13,0,0,,,,,,
2015,1,31,6,EV,2531,N902EV,GRK,DFW,1858,1849,-9,11,1900,52,54,37,134,1937,6,1950,1943,-7,0,0,,,,,,
2015,1,31,6,MQ,3101,N508MQ,ORD,OKC,1245,1237,-8,10,1247,131,117,102,693,1429,5,1456,1434,-22,0,0,,,,,,
2015,1,31,6,US,833,N252AU,MCO,CLT,0845,0837,-8,20,0857,99,110,74,468,1011,16,1024,1027,3,0,0,,,,,,
2015,1,31,6,WN,2888,N482WN,ATL,SFO,0855,0850,-5,13,0903,335,309,288,2139,1051,8,1130,1059,-31,0,0,,,,,,
2015,1,4,7,B6,1016,N193JB,FLL,JAX,0705,0702,-3,14,0716,78,68,48,319,0804,6,0823,0810,-13,0,0,,,,,,
2015,1,4,7,F9,1330,N220FR,IAD,MCO,1515,1634,79,12,1646,145,142,123,758,1849,7,1740,1856,76,0,0,,60,0,15,1,0
