student_id,assign1_grade,assign1_sub_year,assign1_sub_month,assign1_sub_day,assign1_sub_hour,assign1_sub_min,assign1_sub_sec,assign2_grade,assign2_sub_year,assign2_sub_month,assign2_sub_day,assign2_sub_hour,assign2_sub_min,assign2_sub_sec,assign3_grade,assign3_sub_year,assign3_sub_month,assign3_sub_day,assign3_sub_hour,assign3_sub_min,assign3_sub_sec,assign4_grade,assign4_sub_year,assign4_sub_month,assign4_sub_day,assign4_sub_hour,assign4_sub_min,assign4_sub_sec,assign5_grade,assign5_sub_year,assign5_sub_month,assign5_sub_day,assign5_sub_hour,assign5_sub_min,assign5_sub_sec,assign6_grade,assign6_sub_year,assign6_sub_month,assign6_sub_day,assign6_sub_hour,assign6_sub_min,assign6_sub_sec
B73F2C11-70F0-E37D-8B10-1D20AFED50B1,92.73394640624123,2015,11,2,6,55,34,83.03055176561709,2015,11,9,2,22,58,67.16444141249367,2015,11,12,8,58,33,53.01155312999494,2015,11,16,1,21,24,47.710397816995446,2015,11,20,13,24,59,38.16831825359636,2015,11,22,18,31,15
98A0FAE0-A19A-13D2-4BB5-CFBFD94031D1,86.79082085792986,2015,11,29,14,57,44,86.29082085792986,2015,12,6,17,41,18,69.7726566863439,2015,12,10,8,54,55,55.0981253490751,2015,12,13,17,32,30,49.5883128141676,2015,12,19,23,26,39,44.62948153275085,2015,12,21,17,7,24
D0F62040-CEB0-904C-F563-2F8620916C4E,85.51254106831485,2016,1,9,5,36,2,85.51254106831485,2016,1,9,6,39,44,68.41003285465187,2016,1,15,20,22,45,54.728026283721505,2016,1,11,12,41,50,49.25522365534936,2016,1,11,17,31,12,44.32970128981442,2016,1,17,16,24,42
FFDF2B2C-F514-EF7F-6538-A6A53518E9DC,86.0306649611247,2016,4,30,6,50,39,68.82453196889976,2016,4,30,17,20,38,61.942078772009786,2016,5,12,7,47,16,49.55366301760783,2016,5,7,16,9,20,49.55366301760783,2016,5,24,12,51,18,44.598296715847034,2016,5,26,8,9,12
5ECBEEB6-F1CE-80AE-3164-E45E99473FB4,64.81380013206879,2015,12,13,17,6,10,51.49104010565505,2015,12,14,12,25,12,41.93283208452404,2015,12,29,14,25,22,36.92954887607164,2015,12,28,1,29,55,33.23659398846447,2015,12,29,14,46,6,33.23659398846447,2016,1,5,1,6,59
D09000A0-827B-C0FF-3433-BF8FF286E15B,71.64727753486964,2015,12,28,4,35,32,64.05254978138268,2016,1,3,21,5,38,64.75254978138267,2016,1,7,8,55,43,57.46729480324442,2016,1,11,0,45,28,57.46729480324442,2016,1,11,0,54,13,57.46729480324442,2016,1,20,19,54,46
3217BE3F-E4B0-C3B6-9F64-462456819CE4,87.49874382216429,2016,3,5,11,5,25,69.99899505773143,2016,3,9,7,29,52,55.99919604618515,2016,3,16,22,31,24,50.39927644156664,2016,3,18,7,19,26,45.35934879740997,2016,3,19,10,35,41,45.35934879740997,2016,3,23,14,2,0
F1CB5AA1-B3DE-5460-FAFF-BE951FD38B5F,80.57608997955063,2016,1,24,18,24,25,72.51848098159556,2016,1,27,13,37,12,65.266632883436,2016,1,30,14,34,36,65.266632883436,2016,2,3,22,8,49,65.266632883436,2016,2,16,14,22,23,65.266632883436,2016,2,18,8,35,4
C9D51293-BD58-F113-4167-A7C0BAFCB6E5,66.59556796400926,2015,12,25,2,29,28,52.916454371207415,2015,12,31,1,42,30,48.34480893408668,2016,1,5,23,34,2,47.44480893408667,2016,1,2,7,48,42,37.95584714726935,2016,1,3,21,27,4,37.95584714726935,2016,1,19,15,24,31
E2C617C2-4654-622C-AB50-1550C4BE42A0,59.27088238727477,2016,3,6,12,6,26,59.27088238727477,2016,3,13,2,7,25,53.34379414854729,2016,3,17,7,30,9,53.34379414854729,2016,3,20,21,45,56,42.67503531883784,2016,3,27,15,55,4,38.407531786954046,2016,3,30,20,33,13
ECFE7BB7-F618-A5B9-7A57-3BD2BCC0D880,45.83877955562986,2016,3,20,19,34,12,41.254901600066866,2016,3,29,2,41,42,41.254901600066866,2016,6,17,16,2,57,33.003921280053504,2016,4,3,23,2,17,33.003921280053504,2016,5,9,3,13,56,29.703529152048148,2016,5,11,14,25,24
B017B4A6-1F41-9D46-A040-21B0D270D4BE,76.67046936626028,2015,10,5,2,11,5,68.57342242963425,2015,10,11,23,8,1,69.27342242963425,2015,10,14,6,3,4,54.6987379437074,2015,10,19,0,34,45,49.22886414933665,2015,10,24,11,25,20,49.22886414933665,2015,10,26,15,56,55
F2A4439C-F8D6-D47D-D884-C62E40366413,92.2951509983143,2016,3,5,2,21,17,83.06563589848288,2016,3,9,2,7,55,83.06563589848288,2016,4,13,20,43,6,83.06563589848288,2016,3,18,4,14,28,74.7590723086346,2016,3,23,4,5,14,74.7590723086346,2016,3,28,14,6,55
8DC055F5-4B63-6CD1-9BAD-A2D927E01CDA,79.12963211927188,2016,6,24,13,25,33,71.21666890734468,2016,6,30,14,18,26,56.97333512587575,2016,7,6,16,50,3,45.578668100700604,2016,7,7,13,51,18,45.578668100700604,2016,7,12,13,52,46,41.020801290630544,2016,7,15,11,17,40
