TOTALS: 62 of 62,Registered voters,Ballots Cast,Turnout,Joseph R. Biden/Kamala D. Harris,Donald J. Trump/Michael R. Pence,Jo Jorgensen/Jeremy Cohen,Don Blankenship/William Mohr,Howie Hawkins/Angela Walker,Rocky De La Fuente/Darcy Richardson,Total write-in,QW - Brian T. Carroll,QW - Tom Hoefling,QW - Tara Renee Hunter,QW - Jade Simmons,QW - Kasey Wells,Unqualified Write-Ins
TOTAL,"134,947","82,985",61.49%,"37,438","43,519","1,062",140,173,47,186,11,0,0,1,0,174
Bainbridge Township Precinct 1,"2,225","1,640",73.71%,413,"1,191",18,1,4,0,4,2,0,0,0,0,2
Baroda Township Precinct 1,"2,348","1,653",70.4%,502,"1,100",32,8,3,1,4,1,0,0,0,0,3
Benton Charter Township Precinct 1,"3,014","1,429",47.41%,804,586,17,2,4,1,4,0,0,0,0,0,4
Benton Charter Township Precinct 2,"2,204",768,34.85%,566,185,6,0,0,2,4,0,0,0,0,0,4
Benton Charter Township Precinct 3,"1,207",759,62.88%,482,260,13,0,1,0,0,0,0,0,0,0,0
Benton Charter Township Precinct 4,"1,684",988,58.67%,580,385,11,3,2,0,2,0,0,0,0,0,2
Benton Charter Township Precinct 5,"2,607","1,183",45.38%,731,420,11,1,2,1,0,0,0,0,0,0,0
Benton Charter Township Precinct 6,"2,609","1,143",43.81%,972,146,6,2,3,6,3,0,0,0,0,0,3
Berrien Township Precinct 1,"2,112","1,516",71.78%,585,878,29,7,5,1,2,0,0,0,0,0,2
Berrien Township Precinct 2,"1,916","1,190",62.11%,375,775,19,3,2,1,7,0,0,0,0,0,7
Bertrand Township Precinct 1,"2,422","1,707",70.48%,584,"1,081",18,4,2,1,3,0,0,0,0,0,3
Buchanan Township Precinct 1,"2,941","2,017",68.58%,667,"1,306",28,4,2,1,4,0,0,0,0,0,4
Chikaming Township Precinct 1,"2,894","2,150",74.29%,"1,163",946,17,2,7,0,3,0,0,0,0,0,3
City of Benton Harbor Precinct 1,"2,506",945,37.71%,886,43,5,1,2,2,3,0,0,0,0,0,3
City of Benton Harbor Precinct 2,"1,796",601,33.46%,562,34,1,1,0,1,0,0,0,0,0,0,0
City of Benton Harbor Precinct 3,"2,450",976,39.84%,925,36,3,2,2,2,1,0,0,0,0,0,1
City of Benton Harbor Precinct 4,"2,408",890,36.96%,821,56,4,0,0,1,0,0,0,0,0,0,0
City of Bridgman Precinct 1,"1,855","1,316",70.94%,575,708,15,2,5,0,3,2,0,0,0,0,1
City of Buchanan Precinct 1,"2,176","1,165",53.54%,507,626,18,2,5,1,2,0,0,0,1,0,1
City of Buchanan Precinct 2,"1,499",908,60.57%,353,530,16,1,2,0,4,0,0,0,0,0,4
City of Coloma Precinct 1,"1,214",776,63.92%,254,503,9,2,2,1,1,0,0,0,0,0,1
City of New Buffalo Precinct 1,"1,835","1,076",58.64%,570,474,13,3,3,0,4,0,0,0,0,0,4
City of Niles Precinct 1,"2,376",984,41.41%,480,460,30,0,8,1,2,0,0,0,0,0,2
City of Niles Precinct 2,"2,743","1,266",46.15%,636,583,27,2,1,5,5,0,0,0,0,0,5
City of Niles Precinct 3,"2,640","1,087",41.17%,530,528,17,1,3,2,3,0,0,0,0,0,3
City of Niles Precinct 4,"2,688","1,496",55.65%,677,769,29,4,4,0,4,0,0,0,0,0,4
City of St. Joseph Precinct 1,"2,689","1,846",68.65%,"1,028",771,17,4,1,1,12,0,0,0,0,0,12
City of St. Joseph Precinct 2,"2,372","1,693",71.37%,969,676,26,3,4,1,5,0,0,0,0,0,5
City of St. Joseph Precinct 3,"2,304","1,524",66.15%,857,619,26,2,5,0,8,0,0,0,0,0,8
City of Watervliet Precinct 1,"1,321",740,56.02%,256,468,13,0,0,0,1,0,0,0,0,0,1
Coloma Charter Township Precinct 1,"2,423","1,448",59.76%,426,989,19,0,1,1,1,0,0,0,0,0,1
Coloma Charter Township Precinct 2,"1,977","1,197",60.55%,363,808,12,1,5,2,1,0,0,0,0,0,1
Galien Township Precinct 1,"1,241",823,66.32%,252,546,14,4,1,0,1,0,0,0,0,0,1
Hagar Township Precinct 1,"1,332",883,66.29%,308,561,4,3,2,2,0,0,0,0,0,0,0
Hagar Township Precinct 2,"1,601","1,050",65.58%,374,654,8,1,4,0,3,0,0,0,0,0,3
Lake Charter Township Precinct 1,"2,771","2,121",76.54%,672,"1,401",27,2,4,0,2,0,0,0,0,0,2
Lincoln Charter Township Precinct 1,"2,558","1,953",76.35%,739,"1,152",28,1,4,0,10,1,0,0,0,0,9
Lincoln Charter Township Precinct 2,"1,875","1,337",71.31%,539,772,15,1,5,2,2,0,0,0,0,0,2
Lincoln Charter Township Precinct 3,"2,674","1,948",72.85%,851,"1,062",20,0,2,0,6,0,0,0,0,0,6
Lincoln Charter Township Precinct 4,"2,355","1,829",77.66%,715,"1,067",19,1,3,0,8,0,0,0,0,0,8
Lincoln Charter Township Precinct 5,"1,569","1,171",74.63%,459,676,17,5,4,0,2,0,0,0,0,0,2
Lincoln Charter Township Precinct 6,"1,412",996,70.54%,349,620,17,0,3,0,1,0,0,0,0,0,1
New Buffalo Township Precinct 1,"1,952","1,632",83.61%,897,706,14,5,3,0,1,0,0,0,0,0,1
Niles Charter Township Precinct 1,"2,165","1,451",67.02%,490,931,15,2,4,1,3,0,0,0,0,0,3
Niles Charter Township Precinct 2,"1,950",959,49.18%,409,527,20,0,2,1,0,0,0,0,0,0,0
Niles Charter Township Precinct 3,"2,993","1,684",56.26%,653,985,24,5,6,0,2,0,0,0,0,0,2
Niles Charter Township Precinct 4,"2,776","1,444",52.02%,517,899,13,1,0,2,6,0,0,0,0,0,6
Niles Charter Township Precinct 5,"2,205","1,558",70.66%,629,895,22,0,4,0,3,0,0,0,0,0,3
Oronoko Charter Township Precinct 1,"2,200","1,638",74.45%,601,996,22,5,3,0,6,0,0,0,0,0,6
Oronoko Charter Township Precinct 2,"1,439",864,60.04%,430,408,18,0,4,0,0,0,0,0,0,0,0
Oronoko Charter Township Precinct 3,"2,782","1,495",53.74%,938,505,23,8,7,2,1,0,0,0,0,0,1
Pipestone Township Precinct 1,"1,844","1,210",65.62%,337,846,15,4,2,0,1,0,0,0,0,0,1
Royalton Township Precinct 1,"1,957","1,468",75.01%,547,882,20,2,4,1,4,0,0,0,0,0,4
Royalton Township Precinct 2,"2,261","1,672",73.95%,589,"1,055",18,0,2,0,3,0,0,0,0,0,3
Sodus Township Precinct 1,"1,779","1,135",63.8%,389,719,19,1,1,0,2,2,0,0,0,0,0
St. Joseph Charter Township Precinct 1,"2,908","1,962",67.47%,"1,201",730,17,5,1,0,4,1,0,0,0,0,3
St. Joseph Charter Township Precinct 2,"1,858","1,401",75.4%,631,744,13,3,2,0,2,0,0,0,0,0,2
St. Joseph Charter Township Precinct 3,"1,509","1,148",76.08%,523,602,12,1,1,0,1,1,0,0,0,0,0
St. Joseph Charter Township Precinct 4,"2,804","2,110",75.25%,909,"1,143",28,7,2,0,9,1,0,0,0,0,8
Three Oaks Township Precinct 1,"2,401","1,358",56.56%,580,756,15,2,0,0,1,0,0,0,0,0,1
Watervliet Township Precinct 1,"2,616","1,531",58.52%,469,"1,038",14,2,2,0,2,0,0,0,0,0,2
Weesaw Township Precinct 1,"1,705","1,077",63.17%,342,701,26,1,1,0,0,0,0,0,0,0,0
