TOTALS: 62 of 62,Registered voters,Ballots Cast,Turnout,Democratic Party,Republican Party,Libertarian Party,U.S. Taxpayers Party,Working Class Party,Green Party,Natural Law Party
TOTAL,"134,947","82,985",61.49%,"21,026","27,735",331,90,257,83,49
Bainbridge Township Precinct 1,"2,225","1,640",73.71%,215,808,7,0,3,1,1
Baroda Township Precinct 1,"2,348","1,653",70.4%,225,639,13,2,3,3,0
Benton Charter Township Precinct 1,"3,014","1,429",47.41%,624,385,6,4,3,3,2
Benton Charter Township Precinct 2,"2,204",768,34.85%,456,132,6,4,9,0,1
Benton Charter Township Precinct 3,"1,207",759,62.88%,319,177,1,0,3,0,0
Benton Charter Township Precinct 4,"1,684",988,58.67%,355,245,4,0,2,3,0
Benton Charter Township Precinct 5,"2,607","1,183",45.38%,590,254,3,1,6,2,2
Benton Charter Township Precinct 6,"2,609","1,143",43.81%,817,84,2,1,3,3,3
Berrien Township Precinct 1,"2,112","1,516",71.78%,287,604,3,1,2,1,0
Berrien Township Precinct 2,"1,916","1,190",62.11%,177,523,4,2,7,0,0
Bertrand Township Precinct 1,"2,422","1,707",70.48%,292,704,3,2,7,2,1
Buchanan Township Precinct 1,"2,941","2,017",68.58%,340,811,14,4,4,0,3
Chikaming Township Precinct 1,"2,894","2,150",74.29%,543,605,5,0,1,1,0
City of Benton Harbor Precinct 1,"2,506",945,37.71%,766,29,3,1,2,1,3
City of Benton Harbor Precinct 2,"1,796",601,33.46%,473,23,2,4,6,1,1
City of Benton Harbor Precinct 3,"2,450",976,39.84%,833,28,2,3,5,1,4
City of Benton Harbor Precinct 4,"2,408",890,36.96%,700,40,2,6,9,0,2
City of Bridgman Precinct 1,"1,855","1,316",70.94%,281,451,4,3,3,1,0
City of Buchanan Precinct 1,"2,176","1,165",53.54%,282,420,5,4,6,2,2
City of Buchanan Precinct 2,"1,499",908,60.57%,188,359,7,2,6,1,0
City of Coloma Precinct 1,"1,214",776,63.92%,111,310,4,2,5,1,0
City of New Buffalo Precinct 1,"1,835","1,076",58.64%,276,279,4,1,6,1,0
City of Niles Precinct 1,"2,376",984,41.41%,332,294,14,3,9,1,2
City of Niles Precinct 2,"2,743","1,266",46.15%,388,383,7,2,8,2,3
City of Niles Precinct 3,"2,640","1,087",41.17%,353,333,8,1,7,0,2
City of Niles Precinct 4,"2,688","1,496",55.65%,348,458,9,0,6,1,0
City of St. Joseph Precinct 1,"2,689","1,846",68.65%,477,517,5,1,2,1,1
City of St. Joseph Precinct 2,"2,372","1,693",71.37%,425,421,5,1,2,4,0
City of St. Joseph Precinct 3,"2,304","1,524",66.15%,428,389,8,1,2,2,0
City of Watervliet Precinct 1,"1,321",740,56.02%,139,304,3,0,1,0,1
Coloma Charter Township Precinct 1,"2,423","1,448",59.76%,227,632,5,0,7,0,0
Coloma Charter Township Precinct 2,"1,977","1,197",60.55%,186,521,8,1,4,1,0
Galien Township Precinct 1,"1,241",823,66.32%,113,322,5,0,5,1,0
Hagar Township Precinct 1,"1,332",883,66.29%,147,335,2,2,3,0,0
Hagar Township Precinct 2,"1,601","1,050",65.58%,202,446,1,1,1,2,0
Lake Charter Township Precinct 1,"2,771","2,121",76.54%,315,905,8,1,8,3,0
Lincoln Charter Township Precinct 1,"2,558","1,953",76.35%,291,705,7,0,1,0,1
Lincoln Charter Township Precinct 2,"1,875","1,337",71.31%,222,469,5,1,5,5,1
Lincoln Charter Township Precinct 3,"2,674","1,948",72.85%,404,661,3,0,2,0,0
Lincoln Charter Township Precinct 4,"2,355","1,829",77.66%,287,587,4,2,3,2,0
Lincoln Charter Township Precinct 5,"1,569","1,171",74.63%,179,407,5,1,0,0,0
Lincoln Charter Township Precinct 6,"1,412",996,70.54%,152,384,3,1,4,2,0
New Buffalo Township Precinct 1,"1,952","1,632",83.61%,445,432,7,2,6,4,1
Niles Charter Township Precinct 1,"2,165","1,451",67.02%,260,602,6,0,6,0,0
Niles Charter Township Precinct 2,"1,950",959,49.18%,247,347,5,0,5,3,0
Niles Charter Township Precinct 3,"2,993","1,684",56.26%,404,669,9,0,9,3,1
Niles Charter Township Precinct 4,"2,776","1,444",52.02%,301,621,6,2,8,1,2
Niles Charter Township Precinct 5,"2,205","1,558",70.66%,318,590,10,0,4,1,0
Oronoko Charter Township Precinct 1,"2,200","1,638",74.45%,299,678,8,1,1,0,0
Oronoko Charter Township Precinct 2,"1,439",864,60.04%,247,269,5,1,1,1,0
Oronoko Charter Township Precinct 3,"2,782","1,495",53.74%,609,365,14,4,4,4,1
Pipestone Township Precinct 1,"1,844","1,210",65.62%,177,596,3,2,1,2,0
Royalton Township Precinct 1,"1,957","1,468",75.01%,233,564,7,0,3,1,0
Royalton Township Precinct 2,"2,261","1,672",73.95%,238,668,2,0,2,0,0
Sodus Township Precinct 1,"1,779","1,135",63.8%,224,475,3,2,2,0,1
St. Joseph Charter Township Precinct 1,"2,908","1,962",67.47%,751,420,5,2,11,2,1
St. Joseph Charter Township Precinct 2,"1,858","1,401",75.4%,253,459,3,1,1,0,1
St. Joseph Charter Township Precinct 3,"1,509","1,148",76.08%,210,362,3,1,0,1,0
St. Joseph Charter Township Precinct 4,"2,804","2,110",75.25%,371,691,4,3,3,1,1
Three Oaks Township Precinct 1,"2,401","1,358",56.56%,260,413,5,1,1,2,1
Watervliet Township Precinct 1,"2,616","1,531",58.52%,243,687,3,0,6,2,2
Weesaw Township Precinct 1,"1,705","1,077",63.17%,171,444,4,2,2,0,1
