TOTALS: 115 of 115,Registered voters,Ballots Cast,Turnout,Joseph R. Biden,Donald J. Trump,Jo Jorgensen,Don Blankenship,Howie Hawkins,Rocky De La Fuente,Total write-in
TOTAL,"214,400","145,586",67.9%,0,0,0,0,0,0,0
Alaiedon Township Precinct 1,857,690,80.51%,0,0,0,0,0,0,0
Alaiedon Township Precinct 2,810,652,80.49%,0,0,0,0,0,0,0
Alaiedon Township Precinct 3,851,663,77.91%,0,0,0,0,0,0,0
Aurelius Township Precinct 1,"2,016","1,653",81.99%,0,0,0,0,0,0,0
Aurelius Township Precinct 2,"1,501","1,197",79.75%,0,0,0,0,0,0,0
Bunker Hill Township Precinct 1,"1,673","1,193",71.31%,0,0,0,0,0,0,0
City of East Lansing Precinct 1,787,166,21.09%,0,0,0,0,0,0,0
City of East Lansing Precinct 2,"1,468",932,63.49%,0,0,0,0,0,0,0
City of East Lansing Precinct 3,"2,132","1,486",69.7%,0,0,0,0,0,0,0
City of East Lansing Precinct 4,"2,274","1,621",71.28%,0,0,0,0,0,0,0
City of East Lansing Precinct 5,"2,559","1,682",65.73%,0,0,0,0,0,0,0
City of East Lansing Precinct 6,"1,234",851,68.96%,0,0,0,0,0,0,0
City of East Lansing Precinct 7,"1,696","1,283",75.65%,0,0,0,0,0,0,0
City of East Lansing Precinct 8,"1,065",728,68.36%,0,0,0,0,0,0,0
City of East Lansing Precinct 9,"2,061","1,195",57.98%,0,0,0,0,0,0,0
City of East Lansing Precinct 10,"1,848",895,48.43%,0,0,0,0,0,0,0
City of East Lansing Precinct 11,"2,441","1,719",70.42%,0,0,0,0,0,0,0
City of East Lansing Precinct 12,858,214,24.94%,0,0,0,0,0,0,0
City of East Lansing Precinct 13,701,221,31.53%,0,0,0,0,0,0,0
City of East Lansing Precinct 14,477,99,20.75%,0,0,0,0,0,0,0
City of East Lansing Precinct 15,"1,160",254,21.9%,0,0,0,0,0,0,0
City of East Lansing Precinct 16,"1,106",602,54.43%,0,0,0,0,0,0,0
City of Lansing Ward 1 Precinct 1,"2,479","1,440",58.09%,0,0,0,0,0,0,0
