TOTALS: 29 of 29,Registered voters,Ballots Cast,Turnout,Joseph R. Biden/Kamala D. Harris,Donald J. Trump/Michael R. Pence,Jo Jorgensen/Jeremy Cohen,Don Blankenship/William Mohr,Howie Hawkins/Angela Walker,Rocky De La Fuente/Darcy Richardson,Total write-in
TOTAL,"39,925","29,623",74.2%,"14,072","14,815",365,35,102,20,67
Broomfield Township Precinct 1,"1,295","1,043",80.54%,369,646,18,1,2,0,4
Chippewa Township Precinct 1,"2,029","1,393",68.65%,682,668,22,2,3,3,7
Chippewa Township Precinct 2,"1,114",785,70.47%,329,445,5,0,3,0,1
City of Clare Precinct 1,36,0,0%,0,0,0,0,0,0,0
City of Mt. Pleasant Precinct 1,"1,775","1,231",69.35%,706,476,28,2,4,2,5
City of Mt. Pleasant Precinct 2,"2,019","1,417",70.18%,974,397,15,1,13,2,7
City of Mt. Pleasant Precinct 3,"1,783","1,320",74.03%,803,476,15,1,9,3,5
City of Mt. Pleasant Precinct 4,"2,104","1,470",69.87%,920,513,18,2,7,2,5
City of Mt. Pleasant Precinct 5,883,701,79.39%,447,247,2,0,1,0,1
City of Mt. Pleasant Precinct 6,"1,706","1,149",67.35%,817,294,17,1,9,1,1
City of Mt. Pleasant Precinct 7,749,510,68.09%,354,141,8,0,1,0,4
Coe Township Precinct 1,"1,214",942,77.59%,358,569,7,0,2,0,1
Coe Township Precinct 2,971,808,83.21%,319,477,5,0,2,0,1
Coldwater Township Precinct 1,570,414,72.63%,137,270,5,1,0,0,0
Deerfield Township Precinct 1,"1,614","1,398",86.62%,669,694,19,1,4,1,2
Deerfield Township Precinct 2,885,729,82.37%,266,438,12,1,4,0,2
Denver Township Precinct 1,774,591,76.36%,227,352,8,1,1,0,0
Fremont Township Precinct 1,965,796,82.49%,214,564,10,0,2,1,4
Gilmore Township Precinct 1,"1,027",808,78.68%,247,539,9,3,0,0,1
Isabella Township Precinct 1,"1,560","1,168",74.87%,510,621,22,4,2,0,1
Lincoln Township Precinct 1,"1,460","1,197",81.99%,394,777,11,4,3,2,1
Nottawa Township Precinct 1,"1,606","1,303",81.13%,451,829,13,3,3,0,0
Rolland Township Precinct 1,859,656,76.37%,201,440,11,0,2,0,1
Sherman Township Precinct 1,"2,264","1,676",74.03%,627,"1,026",11,1,5,0,0
Union Charter Township Precinct 1,"1,606","1,318",82.07%,665,621,14,1,2,1,4
Union Charter Township Precinct 2,"3,259","2,000",61.37%,"1,169",787,25,1,8,0,3
Union Charter Township Precinct 3,"1,969","1,332",67.65%,751,536,26,1,8,0,1
Vernon Township Precinct 1,953,782,82.06%,272,492,6,2,1,1,3
Wise Township Precinct 1,876,686,78.31%,194,480,3,1,1,1,2
