TOTALS: 29 of 29,Registered voters,Ballots Cast,Turnout,Democratic Party,Republican Party,Libertarian Party,U.S. Taxpayers Party,Working Class Party,Green Party,Natural Law Party
TOTAL,"39,925","29,623",74.2%,"6,859","8,566",121,33,116,52,23
Broomfield Township Precinct 1,"1,295","1,043",80.54%,181,425,5,4,7,0,0
Chippewa Township Precinct 1,"2,029","1,393",68.65%,422,388,5,6,5,6,1
Chippewa Township Precinct 2,"1,114",785,70.47%,174,267,4,0,5,1,0
City of Clare Precinct 1,36,0,0%,0,0,0,0,0,0,0
City of Mt. Pleasant Precinct 1,"1,775","1,231",69.35%,386,263,12,0,9,3,1
City of Mt. Pleasant Precinct 2,"2,019","1,417",70.18%,452,230,6,2,4,3,0
City of Mt. Pleasant Precinct 3,"1,783","1,320",74.03%,405,273,4,2,4,3,3
City of Mt. Pleasant Precinct 4,"2,104","1,470",69.87%,517,278,7,1,7,6,1
City of Mt. Pleasant Precinct 5,883,701,79.39%,220,134,1,1,1,1,0
City of Mt. Pleasant Precinct 6,"1,706","1,149",67.35%,431,177,7,0,3,4,2
City of Mt. Pleasant Precinct 7,749,510,68.09%,198,80,5,1,1,1,0
Coe Township Precinct 1,"1,214",942,77.59%,154,333,3,1,3,2,0
Coe Township Precinct 2,971,808,83.21%,136,264,2,0,0,1,0
Coldwater Township Precinct 1,570,414,72.63%,68,172,1,0,3,0,0
Deerfield Township Precinct 1,"1,614","1,398",86.62%,257,381,3,1,4,1,0
Deerfield Township Precinct 2,885,729,82.37%,71,230,4,2,2,1,2
Denver Township Precinct 1,774,591,76.36%,107,200,2,0,2,0,0
Fremont Township Precinct 1,965,796,82.49%,92,374,1,1,0,0,2
Gilmore Township Precinct 1,"1,027",808,78.68%,132,346,2,1,3,0,0
Isabella Township Precinct 1,"1,560","1,168",74.87%,211,286,6,0,7,3,2
Lincoln Township Precinct 1,"1,460","1,197",81.99%,163,413,2,2,2,0,0
Nottawa Township Precinct 1,"1,606","1,303",81.13%,190,441,5,2,3,0,0
Rolland Township Precinct 1,859,656,76.37%,96,268,3,0,1,1,1
Sherman Township Precinct 1,"2,264","1,676",74.03%,310,620,5,3,5,1,0
Union Charter Township Precinct 1,"1,606","1,318",82.07%,271,315,3,0,6,1,0
Union Charter Township Precinct 2,"3,259","2,000",61.37%,669,475,12,0,17,7,6
Union Charter Township Precinct 3,"1,969","1,332",67.65%,333,304,7,1,3,2,0
Vernon Township Precinct 1,953,782,82.06%,114,324,1,1,6,3,1
Wise Township Precinct 1,876,686,78.31%,99,305,3,1,3,1,1
