TOTALS: 252 of 252,Registered voters,Ballots Cast,Turnout,Joseph R. Biden w/ Kamala D. Harris,Donald J. Trump w/ Michael R. Pence,Jo Jorgensen w/ Jeremy Cohen,Don Blankenship w/ William Mohr,Howie Hawkins w/ Angela Walker,Rocky De La Fuente w/ Darcy Richardson,Total write-in
TOTAL,"501,117","363,695",72.58%,"187,915","165,741","5,495",490,957,241,"1,192"
Ada Township Precinct 1,"1,316","1,095",83.21%,593,473,13,1,0,0,7
Ada Township Precinct 2,"2,428","1,979",81.51%,"1,043",886,28,1,5,1,4
Ada Township Precinct 3,"1,397","1,152",82.46%,512,592,28,2,3,0,8
Ada Township Precinct 4,"1,168",982,84.08%,402,554,10,0,2,0,6
Ada Township Precinct 5,"2,112","1,765",83.57%,682,"1,032",34,0,1,1,7
Ada Township Precinct 6,"1,031",824,79.92%,421,380,14,0,3,2,1
Ada Township Precinct 7,"1,189","1,016",85.45%,539,446,21,1,2,1,2
Ada Township Precinct 8,"1,202",990,82.36%,450,510,15,1,1,1,5
Algoma Township Precinct 1,"1,355","1,096",80.89%,344,719,20,2,6,0,0
Algoma Township Precinct 2,"1,648","1,391",84.41%,462,902,24,0,1,0,0
Algoma Township Precinct 3,"1,766","1,469",83.18%,447,"1,000",15,1,1,0,0
Algoma Township Precinct 4,"1,873","1,426",76.13%,542,857,15,3,2,0,1
Algoma Township Precinct 5,"2,513","2,113",84.08%,852,"1,214",32,1,4,1,1
Alpine Township Precinct 1,"1,135",877,77.27%,337,511,17,1,1,0,4
Alpine Township Precinct 2,"1,428",998,69.89%,507,472,13,0,1,2,1
Alpine Township Precinct 3,"2,350","1,856",78.98%,910,898,30,1,4,1,3
Alpine Township Precinct 4,"2,388","1,601",67.04%,636,937,12,3,0,3,7
Alpine Township Precinct 5,"1,053",845,80.25%,274,555,8,2,1,0,1
Alpine Township Precinct 6,"2,173","1,056",48.6%,725,310,14,1,4,0,1
Bowne Township Precinct 1,"2,578","2,155",83.59%,542,"1,557",32,1,7,0,3
Byron Township Precinct 1,"2,655","2,214",83.39%,624,"1,503",51,5,6,1,8
Byron Township Precinct 2,"2,872","2,492",86.77%,806,"1,621",30,6,3,0,4
