TOTALS: 15 of 15,Registered voters,Ballots Cast,Turnout,Joseph R. Biden/Kamala D. Harris,Donald J. Trump/Michael R. Pence,Jo Jorgensen/Jeremy Cohen,Don Blankenship/William Mohr,Howie Hawkins/Angela Walker,Rocky De La Fuente/Darcy Richardson,Total write-in
TOTAL,"10,050","6,389",63.57%,"2,288","3,946",65,9,12,3,9
Chase Township Precinct 1,897,612,68.23%,131,470,6,0,2,0,2
Cherry Valley Township Precinct 2,414,260,62.8%,94,156,2,1,1,0,0
Dover Township Precinct 3,330,245,74.24%,53,191,0,0,0,0,1
Eden Township Precinct 4,429,301,70.16%,102,193,4,0,0,0,1
Elk Township Precinct 5,938,702,74.84%,257,426,8,1,0,0,0
Ellsworth Township Precinct 6,672,449,66.82%,123,315,3,2,0,0,0
Lake Township Precinct 7,791,552,69.79%,198,339,11,0,1,0,0
Newkirk Township Precinct 8,516,341,66.09%,77,255,2,1,0,1,0
Peacock Township Precinct 10,375,272,72.53%,92,173,1,1,0,0,0
Pinora Township Precinct 11,614,420,68.4%,101,306,6,1,3,0,0
Pleasant Plains Township Precinct 12,"1,421",758,53.34%,338,402,7,2,2,1,1
Sauble Township Precinct 15,360,267,74.17%,88,178,0,0,1,0,0
Sweetwater Township Precinct 16,206,135,65.53%,51,82,1,0,0,0,0
Webber Township Precinct 17,"1,222",622,50.9%,291,310,9,0,1,1,4
Yates Township Precinct 19,865,453,52.37%,292,150,5,0,1,0,0
