TOTALS: 15 of 15,Registered voters,Ballots Cast,Turnout,Democratic Party,Republican Party,Libertarian Party,U.S. Taxpayers Party,Working Class Party,Green Party,Natural Law Party
TOTAL,"10,050","6,389",63.57%,"1,022","2,079",28,17,18,7,4
Chase Township Precinct 1,897,612,68.23%,75,294,2,0,0,0,0
Cherry Valley Township Precinct 2,414,260,62.8%,37,60,2,2,0,0,1
Dover Township Precinct 3,330,245,74.24%,26,99,0,0,0,0,0
Eden Township Precinct 4,429,301,70.16%,63,116,2,1,2,0,0
Elk Township Precinct 5,938,702,74.84%,105,213,3,0,0,0,0
Ellsworth Township Precinct 6,672,449,66.82%,39,172,4,3,1,0,0
Lake Township Precinct 7,791,552,69.79%,88,175,3,1,0,1,0
Newkirk Township Precinct 8,516,341,66.09%,28,156,2,0,4,0,0
Peacock Township Precinct 10,375,272,72.53%,38,81,0,1,0,0,0
Pinora Township Precinct 11,614,420,68.4%,45,190,2,1,1,0,0
Pleasant Plains Township Precinct 12,"1,421",758,53.34%,146,177,3,5,6,0,1
Sauble Township Precinct 15,360,267,74.17%,18,101,1,0,0,2,2
Sweetwater Township Precinct 16,206,135,65.53%,23,40,0,0,0,0,0
Webber Township Precinct 17,"1,222",622,50.9%,131,138,2,3,1,2,0
Yates Township Precinct 19,865,453,52.37%,160,67,2,0,3,2,0
