TOTALS: 31 of 31,Registered voters,Ballots Cast,Turnout,Democratic Party,Republican Party,Libertarian Party,U.S. Taxpayers Party,Working Class Party,Green Party,Natural Law Party
TOTAL,"35,707","27,315",76.5%,"4,016","12,119",97,30,85,27,9
Ashland Township Precinct 1,"1,864","1,440",77.25%,184,673,5,1,5,1,0
Barton Township Precinct 1,543,437,80.48%,61,205,2,0,0,1,0
Beaver Township Precinct 1,321,247,76.95%,37,114,0,0,0,1,0
Big Prairie Township Precinct 1,"1,756","1,212",69.02%,216,520,9,3,10,0,1
Bridgeton Township Precinct 1,"1,546","1,186",76.71%,184,542,2,4,4,1,0
Brooks Township Precinct 1,981,803,81.86%,97,379,4,0,0,2,0
Brooks Township Precinct 2,"1,855","1,446",77.95%,217,645,6,2,3,1,0
City of Fremont Precinct 1,"1,682","1,326",78.83%,237,499,2,2,3,1,0
City of Fremont Precinct 2,"1,570","1,195",76.11%,193,468,7,1,4,1,0
City of Grant Precinct 1,585,406,69.4%,55,185,4,0,2,3,0
City of Newaygo Precinct 1,"1,570","1,045",66.56%,173,444,12,3,6,1,1
City of White Cloud Precinct 1,790,492,62.28%,78,225,3,1,3,0,0
Croton Township Precinct 1,"1,236",965,78.07%,142,462,0,0,1,0,0
Croton Township Precinct 2,"1,410","1,124",79.72%,198,456,5,3,3,1,0
Dayton Township Precinct 1,"1,454","1,222",84.04%,165,529,1,1,2,0,1
Denver Township Precinct 1,"1,438","1,007",70.03%,213,425,1,1,2,2,0
Ensley Township Precinct 1,"1,905","1,563",82.05%,144,742,3,0,3,3,1
Everett Township Precinct 1,"1,439","1,043",72.48%,144,477,6,1,2,3,2
Garfield Township Precinct 1,"1,687","1,386",82.16%,216,646,3,0,2,0,0
Goodwell Township Precinct 1,408,339,83.09%,37,158,2,0,5,0,0
Grant Township Precinct 1,"2,285","1,753",76.72%,196,840,7,1,6,1,1
Home Township Precinct 1,188,154,81.91%,20,77,0,0,0,0,0
Lilley Township Precinct 1,636,458,72.01%,79,221,1,0,2,0,0
Lincoln Township Precinct 1,"1,028",758,73.74%,113,291,2,1,1,1,1
Merrill Township Precinct 1,581,397,68.33%,94,121,2,2,5,0,1
Monroe Township Precinct 1,247,198,80.16%,14,103,0,0,1,1,0
Norwich Township Precinct 1,421,362,85.99%,62,167,0,0,1,0,0
Sheridan Charter Township Precinct 1,"1,798","1,426",79.31%,179,654,3,1,0,0,0
Sherman Township Precinct 1,"1,506","1,208",80.21%,158,517,2,1,6,2,0
Troy Township Precinct 1,187,132,70.59%,15,72,0,0,0,0,0
Wilcox Township Precinct 1,790,585,74.05%,95,262,3,1,3,0,0
