TOTALS: 31 of 31,Registered voters,Ballots Cast,Turnout,Joseph R. Biden/Kamala D. Harris,Donald J. Trump/Michael R. Pence,Jo Jorgensen/Jeremy Cohen,Don Blankenship/William Mohr,Howie Hawkins/Angela Walker,Rocky De La Fuente/Darcy Richardson,Total write-in,QW - Brian T. Carroll,QW - Tom Hoefling,QW - Tara Renee Hunter,QW - Jade Simmons,QW - Kasey Wells,Unqualified Write-Ins
TOTAL,"55,612","39,471",70.98%,"15,347","23,149",524,82,98,20,81,3,0,0,1,0,77
Antrim Township Precinct 1,"1,826","1,340",73.38%,383,930,14,3,4,0,2,0,0,0,0,0,2
Bennington Township Precinct 1,"2,641","2,049",77.58%,672,"1,330",26,4,5,0,2,0,0,0,0,0,2
Burns Township Precinct 1,"2,802","2,139",76.34%,677,"1,413",26,4,8,1,4,0,0,0,0,0,4
Caledonia Charter Township Precinct 1,"2,334","1,641",70.31%,723,887,18,3,3,0,1,0,0,0,0,0,1
Caledonia Charter Township Precinct 2,"1,322",949,71.79%,382,539,12,3,3,1,2,0,0,0,0,0,2
City of Corunna Precinct 1,"2,416","1,488",61.59%,662,779,25,5,5,1,6,0,0,0,0,0,6
City of Durand Precinct 1,"1,426",874,61.29%,364,475,21,4,2,0,2,0,0,0,0,0,2
City of Durand Precinct 2,"1,311",930,70.94%,378,525,16,3,1,0,2,0,0,0,0,0,2
City of Laingsburg Precinct 1,991,736,74.27%,316,400,8,4,1,2,2,0,0,0,0,0,2
City of Owosso Precinct 1-1,"2,216","1,596",72.02%,754,803,20,5,3,1,6,0,0,0,0,0,6
City of Owosso Precinct 2-1,"1,749","1,306",74.67%,624,647,19,1,3,1,3,0,0,0,0,0,3
City of Owosso Precinct 2-2,"1,841","1,116",60.62%,549,543,10,1,5,1,0,0,0,0,0,0,0
City of Owosso Precinct 2-3,"2,595","1,414",54.49%,608,760,24,4,7,1,4,0,0,0,0,0,4
City of Owosso Precinct 2-4,"1,045",597,57.13%,252,329,11,1,2,0,1,0,0,0,0,0,1
City of Owosso Precinct 6-1,"1,914","1,123",58.67%,447,638,25,3,3,0,3,0,0,0,0,0,3
City of Perry Precinct 1,"1,605","1,159",72.21%,435,695,16,6,1,1,3,0,0,0,0,0,3
Fairfield Township Precinct 1,529,396,74.86%,144,240,8,2,0,1,1,0,0,0,0,0,1
Hazelton Township Precinct 1,"1,813","1,306",72.04%,487,794,15,2,4,0,2,0,0,0,1,0,1
Middlebury Township Precinct 1,"1,304",960,73.62%,287,658,7,1,1,0,2,0,0,0,0,0,2
New Haven Township Precinct 1,"1,037",796,76.76%,289,491,10,1,0,1,2,2,0,0,0,0,0
Owosso Charter Township Precinct 1,"2,618","1,790",68.37%,679,"1,068",18,2,5,0,6,0,0,0,0,0,6
Owosso Charter Township Precinct 2,"1,387","1,132",81.61%,499,599,18,0,1,1,7,0,0,0,0,0,7
Perry Township Precinct 1,"1,622","1,171",72.19%,444,700,19,2,2,1,2,0,0,0,0,0,2
Perry Township Precinct 2,"1,652","1,204",72.88%,394,779,11,3,4,4,1,0,0,0,0,0,1
Rush Township Precinct 1,"1,079",780,72.29%,292,465,14,1,2,0,0,0,0,0,0,0,0
Sciota Township Precinct 1,"1,499","1,165",77.72%,493,647,12,2,2,0,2,0,0,0,0,0,2
Shiawassee Township Precinct 1,"2,272","1,801",79.27%,630,"1,127",27,3,3,0,5,1,0,0,0,0,4
Venice Township Precinct 1,"1,811","1,389",76.7%,441,921,10,5,2,0,3,0,0,0,0,0,3
Vernon Township Precinct 1,"1,973","1,431",72.53%,513,892,12,1,5,1,0,0,0,0,0,0,0
Vernon Township Precinct 2,"1,823","1,224",67.14%,454,747,12,1,4,0,2,0,0,0,0,0,2
Woodhull Township Precinct 1,"3,159","2,469",78.16%,"1,075","1,328",40,2,7,1,3,0,0,0,0,0,3
