TOTALS: 31 of 31,Registered voters,Ballots Cast,Turnout,Democratic Party,Republican Party,Libertarian Party,U.S. Taxpayers Party,Working Class Party,Green Party,Natural Law Party
TOTAL,"55,612","39,471",70.98%,"7,108","12,299",138,50,151,47,25
Antrim Township Precinct 1,"1,826","1,340",73.38%,171,554,4,2,3,2,0
Bennington Township Precinct 1,"2,641","2,049",77.58%,285,662,3,3,6,4,0
Burns Township Precinct 1,"2,802","2,139",76.34%,360,838,6,3,5,3,0
Caledonia Charter Township Precinct 1,"2,334","1,641",70.31%,279,427,2,4,2,1,2
Caledonia Charter Township Precinct 2,"1,322",949,71.79%,196,297,3,1,3,1,1
City of Corunna Precinct 1,"2,416","1,488",61.59%,330,416,2,0,7,2,0
City of Durand Precinct 1,"1,426",874,61.29%,187,265,5,4,5,4,1
City of Durand Precinct 2,"1,311",930,70.94%,186,280,7,1,2,0,0
City of Laingsburg Precinct 1,991,736,74.27%,139,216,9,1,6,2,1
City of Owosso Precinct 1-1,"2,216","1,596",72.02%,322,381,3,2,3,1,0
City of Owosso Precinct 2-1,"1,749","1,306",74.67%,255,302,7,1,6,2,2
City of Owosso Precinct 2-2,"1,841","1,116",60.62%,262,303,4,2,7,0,1
City of Owosso Precinct 2-3,"2,595","1,414",54.49%,330,445,8,2,12,4,1
City of Owosso Precinct 2-4,"1,045",597,57.13%,114,180,6,0,2,1,1
City of Owosso Precinct 6-1,"1,914","1,123",58.67%,238,329,9,2,8,6,1
City of Perry Precinct 1,"1,605","1,159",72.21%,254,407,6,3,1,0,1
Fairfield Township Precinct 1,529,396,74.86%,47,122,2,0,2,0,1
Hazelton Township Precinct 1,"1,813","1,306",72.04%,254,401,3,1,6,0,1
Middlebury Township Precinct 1,"1,304",960,73.62%,138,370,2,0,4,0,0
New Haven Township Precinct 1,"1,037",796,76.76%,115,227,1,0,0,1,1
Owosso Charter Township Precinct 1,"2,618","1,790",68.37%,291,525,5,3,10,0,1
Owosso Charter Township Precinct 2,"1,387","1,132",81.61%,185,290,1,1,1,0,1
Perry Township Precinct 1,"1,622","1,171",72.19%,221,396,2,0,2,0,2
Perry Township Precinct 2,"1,652","1,204",72.88%,164,415,4,1,10,4,2
Rush Township Precinct 1,"1,079",780,72.29%,106,234,4,2,4,0,1
Sciota Township Precinct 1,"1,499","1,165",77.72%,225,346,0,0,1,0,1
Shiawassee Township Precinct 1,"2,272","1,801",79.27%,305,592,9,5,8,2,0
Venice Township Precinct 1,"1,811","1,389",76.7%,186,476,1,2,6,3,1
Vernon Township Precinct 1,"1,973","1,431",72.53%,241,487,6,3,6,0,1
Vernon Township Precinct 2,"1,823","1,224",67.14%,238,407,8,1,7,2,0
Woodhull Township Precinct 1,"3,159","2,469",78.16%,484,709,6,0,6,2,0
