TOTALS: 33 of 33,Registered voters,Ballots Cast,Turnout,Democratic Party,Republican Party,Libertarian Party,U.S. Taxpayers Party,Working Class Party,Green Party,Natural Law Party
TOTAL,"60,495","39,311",64.98%,"8,767","13,522",148,39,119,43,20
Almena Township Precinct 1,"2,529","2,003",79.2%,401,682,8,2,3,1,2
Almena Township Precinct 2,"1,781","1,387",77.88%,268,461,5,1,3,0,0
Antwerp Township Precinct 1,"1,821","1,191",65.4%,271,380,2,0,1,2,0
Antwerp Township Precinct 2,"2,701","2,031",75.19%,437,626,7,2,5,2,1
Antwerp Township Precinct 3,"1,570","1,185",75.48%,221,394,3,4,0,0,0
Antwerp Township Precinct 4,"1,936","1,330",68.7%,336,410,5,1,5,2,3
Antwerp Township Precinct 5,"2,322","1,783",76.79%,346,617,3,0,4,0,0
Arlington Township Precinct 1,"1,576",968,61.42%,198,370,3,2,6,1,2
Bangor Township Precinct 1,"1,511",846,55.99%,144,390,4,1,4,1,1
Bloomingdale Township Precinct 1,"2,419","1,515",62.63%,237,575,9,2,5,2,0
City of Bangor Precinct 1,"1,544",728,47.15%,217,203,3,3,7,4,1
City of Gobles Precinct 1,641,420,65.52%,88,160,3,0,3,0,1
City of Hartford Precinct 1,"1,689",896,53.05%,242,331,1,2,1,2,0
City of South Haven Ward 1 Precinct 1,"1,066",761,71.39%,282,154,3,0,1,0,0
City of South Haven Ward 2 Precinct 1,"1,361",900,66.13%,310,198,0,0,1,2,0
City of South Haven Ward 3 Precinct 1,"1,312",920,70.12%,270,260,2,0,1,0,1
City of South Haven Ward 3 Precinct 2,10,8,80%,3,0,0,0,0,0,0
Columbia Township Precinct 1,"2,119","1,208",57.01%,184,373,7,1,4,0,0
Covert Township Precinct 1,"1,999","1,063",53.18%,460,255,6,5,6,1,1
Decatur Township Precinct 1,"2,669","1,629",61.03%,373,573,15,2,10,1,1
Geneva Township Precinct 1,"2,758","1,698",61.57%,430,588,10,2,6,2,1
Hamilton Township Precinct 1,"1,170",700,59.83%,140,278,3,0,2,0,0
Hartford Township Precinct 1,"2,252","1,201",53.33%,214,587,0,1,1,2,1
Keeler Township Precinct 1,"1,654","1,077",65.11%,177,498,5,0,7,4,1
Lawrence Township Precinct 1,"2,626","1,548",58.95%,322,596,7,1,2,5,0
Paw Paw Township Precinct 1,"2,521","1,466",58.15%,405,476,3,2,2,3,0
Paw Paw Township Precinct 2,"1,766","1,226",69.42%,255,384,6,1,2,1,0
Paw Paw Township Precinct 3,"1,181",811,68.67%,184,282,2,1,3,0,0
Pine Grove Township Precinct 1,"2,457","1,768",71.96%,279,615,4,1,6,2,2
Porter Township Precinct 1,"2,239","1,561",69.72%,320,590,4,0,1,0,0
South Haven Township Precinct 1,"2,170","1,401",64.56%,341,471,4,1,4,2,1
South Haven Township Precinct 2,"1,160",747,64.4%,188,259,3,0,2,0,0
Waverly Township Precinct 1,"1,965","1,335",67.94%,224,486,8,1,11,1,0
