district,candidate,party,total_votes,won
Delaware at large,Lisa Blunt Rochester,DEM,281382,True
Delaware at large,Lee Murphy,REP,196392,False
Delaware at large,Catherine Purcell,IND,6682,False
Delaware at large,David Rogers,LIB,3814,False
Florida’s 1st district,Matt Gaetz,REP,283260,True
Florida’s 1st district,Phil Ehr,DEM,149096,False
Florida’s 1st district,Albert Oram,NPA,6033,False
Florida’s 2nd district,Neal Dunn,REP,303879,True
Florida’s 2nd district, Write-ins,WRI,24324,False
Florida’s 3rd district,Kat Cammack,REP,223060,True
Florida’s 3rd district,Adam Christensen,DEM,167289,False
Florida’s 4th district,John Rutherford,REP,308447,True
Florida’s 4th district,Donna Deegan,DEM,196360,False
Florida’s 4th district, Write-ins,WRI,108,False
Florida’s 5th district,Al Lawson,DEM,219417,True
Florida’s 5th district,Gary Adler,REP,117495,False
Florida’s 6th district,Michael Waltz,REP,265371,True
Florida’s 6th district,Clint Curtis,DEM,172265,False
Florida’s 6th district, Write-ins,WRI,595,False
Florida’s 7th district,Stephanie Murphy,DEM,224871,True
Florida’s 7th district,Leo Valentin,REP,175710,False
Florida’s 7th district,William Garlington,NPA,5750,False
Florida’s 8th district,Bill Posey,REP,282248,True
Florida’s 8th district,Jim Kennedy,DEM,177623,False
Florida’s 9th district,Darren Soto,DEM,240285,True
Florida’s 9th district,Bill Olson,REP,188622,False
Florida’s 9th district, Write-ins,WRI,301,False
Florida’s 10th district,Val Demings,DEM,239345,True
Florida’s 10th district,Vennia Francois,REP,136851,False
Florida’s 10th district, Write-ins,WRI,311,False
Florida’s 11th district,Daniel Webster,REP,316958,True
Florida’s 11th district,Dana Cottrell,DEM,158065,False
Florida’s 12th district,Gus Bilirakis,REP,284914,True
Florida’s 12th district,Kimberly Walker,DEM,168155,False
Florida’s 13th district,Charlie Crist,DEM,215373,True
Florida’s 13th district,Anna Luna,REP,190697,False
Florida’s 13th district, Write-ins,WRI,461,False
Florida’s 14th district,Kathy Castor,DEM,224146,True
Florida’s 14th district,Christine Quinn,REP,147852,False
Florida’s 15th district,Scott Franklin,REP,216334,True
Florida’s 15th district,Alan Cohn,DEM,174350,False
Florida’s 16th district,Vern Buchanan,REP,268738,True
Florida’s 16th district,Margaret Good,DEM,215383,False
Florida’s 17th district,Greg Steube,REP,266467,True
Florida’s 17th district,Allen Ellison,DEM,140448,False
Florida’s 17th district,Theodore Murray,NPA,5395,False
Florida’s 18th district,Brian Mast,REP,253245,True
Florida’s 18th district,Pam Keith,DEM,186614,False
Florida’s 18th district,K.W. Miller,NPA,9757,False
Florida’s 19th district,Byron Donalds,REP,272425,True
Florida’s 19th district,Cindy Banyai,DEM,172116,False
Florida’s 19th district, Write-ins,WRI,299,False
Florida’s 20th district,Alcee Hastings,DEM,253615,True
Florida’s 20th district,Greg Musselwhite,REP,68739,False
Florida’s 21st district,Lois Frankel,DEM,237837,True
Florida’s 21st district,Laura Loomer,REP,157588,False
Florida’s 21st district,Charleston Malkemus,NPA,7540,False
Florida’s 21st district, Write-ins,WRI,206,False
Florida’s 22nd district,Ted Deutch,DEM,235696,True
Florida’s 22nd district,James Pruden,REP,166528,False
Florida’s 23rd district,Debbie Wasserman Schultz,DEM,221185,True
Florida’s 23rd district,Carla Spalding,REP,158825,False
Florida’s 23rd district, Write-ins,WRI,1081,False
Florida’s 24th district,Frederica Wilson,DEM,218799,True
Florida’s 24th district,Lavern Spicer,REP,59069,False
Florida’s 24th district,Christine Olivo,NPA,11702,False
Florida’s 24th district, Write-ins,WRI,395,False
Florida’s 25th district,Mario Diaz-Balart,REP,0,True
Florida’s 26th district,Carlos Gimenez,REP,177211,True
Florida’s 26th district,Debbie Mucarsel-Powell,DEM,165377,False
Florida’s 27th district,Maria Elvira Salazar,REP,176114,True
Florida’s 27th district,Donna Shalala,DEM,166705,False
Florida’s 27th district, Write-ins,WRI,457,False
Georgia’s 1st district,Buddy Carter,REP,189567,True
Georgia’s 1st district,Joyce Griggs,DEM,135335,False
Georgia’s 2nd district,Sanford Bishop,DEM,161398,True
Georgia’s 2nd district,Don Cole,REP,111615,False
Georgia’s 3rd district,Drew Ferguson,REP,240132,True
Georgia’s 3rd district,Val Almonord,DEM,129050,False
Georgia’s 3rd district, Write-ins,WRI,18,False
Georgia’s 4th district,Hank Johnson,DEM,278813,True
Georgia’s 4th district,Johsie Ezammudeen,REP,69384,False
Georgia’s 5th district,Nikema Williams,DEM,301784,True
Georgia’s 5th district,Angela Stanton-King,REP,52639,False
Georgia’s 6th district,Lucy McBath,DEM,216749,True
Georgia’s 6th district,Karen Handel,REP,180293,False
Georgia’s 7th district,Carolyn Bourdeaux,DEM,190900,True
Georgia’s 7th district,Rich McCormick,REP,180564,False
Georgia’s 8th district,Austin Scott,REP,198698,True
Georgia’s 8th district,Lindsay Holliday,DEM,109263,False
Georgia’s 8th district, Write-ins,WRI,24,False
Georgia’s 9th district,Andrew Clyde,REP,292738,True
Georgia’s 9th district,Devin Pandy,DEM,79759,False
Georgia’s 9th district, Write-ins,WRI,3,False
Georgia’s 10th district,Jody Hice,REP,235554,True
Georgia’s 10th district,Tabitha Johnson-Green,DEM,142555,False
Georgia’s 10th district, Write-ins,WRI,60,False
Georgia’s 11th district,Barry Loudermilk,REP,245258,True
Georgia’s 11th district,Dana Barrett,DEM,160623,False
Georgia’s 12th district,Rick Allen,REP,181039,True
Georgia’s 12th district,Liz Johnson,DEM,129061,False
Georgia’s 13th district,David Scott,DEM,278549,True
Georgia’s 13th district,Becky Hites,REP,81154,False
Georgia’s 14th district,Marjorie Taylor Greene,REP,227885,True
Georgia’s 14th district,Kevin Van Ausdal,DEM,76860,False
Georgia’s 14th district, Write-ins,WRI,323,False
Hawaii’s 1st district,Ed Case,DEM,183053,True
