state,total_votes
Delaware,504010
District of Columbia,309190
Florida,11075446
Georgia,4992420
Hawaii,573854
Idaho,867971
Illinois,5766283
Indiana,3032024
Iowa,1687692
Kansas,1334330
Kentucky,2135193
Louisiana,2148062
Maine,786337
Maryland,2732714
Massachusetts,3482216
Michigan,5531329
Minnesota,3272469
Mississippi,1159362
Missouri,3010316
Montana,602781
Nebraska,942480
Nevada,1337217
New Hampshire,804453
New Jersey,4033007
New Mexico,921308
New York,6647018
North Carolina,5474442
North Dakota,361656
Ohio,5764587
Oklahoma,1560699
Oregon,2349283
Pennsylvania,6804083
Rhode Island,513503
South Carolina,2513329
South Dakota,422609
Tennessee,3049514
Texas,11255671
Utah,1435687
Vermont,367432
Virginia,4443375
Washington,4004599
West Virginia,790253
Wisconsin,3297174
Wyoming,276765
Alabama,2309900
Arkansas,1209372
California,16092730
Colorado,3216881
Connecticut,1821878
United States,152652754
Alaska,260983
Arizona,3366867
