state,total_votes
Delaware,490935
Georgia,4945792
Idaho,858780
Illinois,5698137
Iowa,1669433
Kansas,1330054
Kentucky,2134725
Louisiana,2071543
Maine,761847
Massachusetts,3343516
Michigan,5462906
Minnesota,3214950
Mississippi,1153803
Montana,602736
Nebraska,893061
New Hampshire,792650
New Jersey,3934476
New Mexico,914619
North Carolina,5432052
Oklahoma,1556361
Oregon,2296395
Rhode Island,492083
South Carolina,2512810
South Dakota,420219
Tennessee,2941711
Texas,11081312
Virginia,4379407
West Virginia,774401
Wyoming,270866
Alabama,2303212
Arizona,3336172
Arkansas,1184719
Colorado,3196434
Alaska,260193
Georgia,4907860
