Volcano Name,Eruption Type,Start Date,Max. VEI
Kilauea,Confirmed Eruption,2021 Sep 29,--
La Palma,Confirmed Eruption,2021 Sep 19,--
Nishinoshima,Confirmed Eruption,2021 Aug 14,--
Fukutoku-Oka-no-Ba,Confirmed Eruption,2021 Aug 13,--
Chirinkotan,Confirmed Eruption,2021 Aug 8,--
Pavlof,Confirmed Eruption,2021 Aug 5,--
Pagan,Confirmed Eruption,2021 Jul 29,--
Ulawun,Confirmed Eruption,2021 Jul 29,--
Sirung,Confirmed Eruption,2021 Jul 21,--
Copahue,Confirmed Eruption,2021 Jul 2,--
Taal,Confirmed Eruption,2021 Jul 1,--
Rincon de la Vieja,Confirmed Eruption,2021 Jun 28,--
Turrialba,Confirmed Eruption,2021 Jun 13,--
Great Sitkin,Confirmed Eruption,2021 May 25,--
Telica,Confirmed Eruption,2021 May 22,--
Dieng Volcanic Complex,Confirmed Eruption,2021 Apr 29,--
Tengger Caldera,Confirmed Eruption,2021 Apr 15,--
"Fournaise, Piton de la",Confirmed Eruption,2021 Apr 9,--
Krysuvik-Trolladyngja,Confirmed Eruption,2021 Mar 19,--
Veniaminof,Confirmed Eruption,2021 Feb 28,--
Semisopochnoi,Confirmed Eruption,2021 Feb 2,--
Raung,Confirmed Eruption,2021 Jan 21,--
Merapi,Confirmed Eruption,2020 Dec 31,1
Soufriere St. Vincent,Confirmed Eruption,2020 Dec 27,4
San Cristobal,Confirmed Eruption,2020 Dec 27,3
Tengger Caldera,Confirmed Eruption,2020 Dec 26,1
Kilauea,Confirmed Eruption,2020 Dec 20,0
"Fournaise, Piton de la",Confirmed Eruption,2020 Dec 7,0
Lewotolok,Confirmed Eruption,2020 Nov 27,2
Kikai,Confirmed Eruption,2020 Oct 6,1
Kavachi,Confirmed Eruption,2020 Sep 2,0
Kuchinoerabujima,Confirmed Eruption,2020 Aug 29,1
Sinabung,Confirmed Eruption,2020 Aug 8,3
Telica,Confirmed Eruption,2020 Jul 20,1
Raung,Confirmed Eruption,2020 Jul 16,1
Turrialba,Confirmed Eruption,2020 Jun 18,1
Copahue,Confirmed Eruption,2020 Jun 16,2
Cleveland,Confirmed Eruption,2020 Jun 1,3
Kikai,Confirmed Eruption,2020 Apr 29,1
Karymsky,Confirmed Eruption,2020 Apr 1,3
Soputan,Confirmed Eruption,2020 Mar 23,2
Kavachi,Confirmed Eruption,2020 Mar 16,0
Sarychev Peak,Confirmed Eruption,2020 Feb 29,1
San Miguel,Confirmed Eruption,2020 Feb 22,1
"Fournaise, Piton de la",Confirmed Eruption,2020 Feb 10,0
Rincon de la Vieja,Confirmed Eruption,2020 Jan 30,2
Fernandina,Confirmed Eruption,2020 Jan 12,0
Taal,Confirmed Eruption,2020 Jan 12,4
Kuchinoerabujima,Confirmed Eruption,2020 Jan 11,3
Whakaari/White Island,Confirmed Eruption,2019 Dec 9,2
Semisopochnoi,Confirmed Eruption,2019 Dec 7,1
Nishinoshima,Confirmed Eruption,2019 Dec 5,1
Cleveland,Uncertain Eruption,2019 Nov 7,--
Kikai,Confirmed Eruption,2019 Nov 2,2
Lateiki,Confirmed Eruption,2019 Oct 13,1
Asamayama,Confirmed Eruption,2019 Aug 7,2
Copahue,Confirmed Eruption,2019 Aug 2,2
Tangkuban Parahu,Confirmed Eruption,2019 Jul 26,1
Shishaldin,Confirmed Eruption,2019 Jul 23,3
Semisopochnoi,Confirmed Eruption,2019 Jul 16,1
Ulawun,Confirmed Eruption,2019 Jun 26,4
Ubinas,Confirmed Eruption,2019 Jun 24,2
Raikoke,Confirmed Eruption,2019 Jun 22,3
"Fournaise, Piton de la",Confirmed Eruption,2019 Jun 11,0
Great Sitkin,Confirmed Eruption,2019 Jun 1,1
Sarychev Peak,Confirmed Eruption,2019 May 16,2
Colima,Confirmed Eruption,2019 May 11,1
Asosan,Confirmed Eruption,2019 Apr 16,2
Klyuchevskoy,Confirmed Eruption,2019 Apr 9,2
Sangay,Confirmed Eruption,2019 Mar 26,2
San Cristobal,Confirmed Eruption,2019 Mar 4,1
"Fournaise, Piton de la",Confirmed Eruption,2019 Feb 18,0
Tengger Caldera,Confirmed Eruption,2019 Feb 18,2
Karymsky,Confirmed Eruption,2019 Feb 16,2
Poas,Confirmed Eruption,2019 Feb 7,2
Sinabung,Confirmed Eruption,2019 Feb 6,4
Tinakula,Confirmed Eruption,2018 Dec 8,2
Karangetang,Confirmed Eruption,2018 Nov 25,2
Planchon-Peteroa,Confirmed Eruption,2018 Nov 7,1
Kuchinoerabujima,Confirmed Eruption,2018 Oct 21,3
Gamalama,Confirmed Eruption,2018 Oct 4,1
Soputan,Confirmed Eruption,2018 Oct 2,3
Barren Island,Confirmed Eruption,2018 Sep 25,1
Ulawun,Confirmed Eruption,2018 Sep 21,2
Ketoi,Uncertain Eruption,2018 Sep 21,1
Sarychev Peak,Confirmed Eruption,2018 Sep 8,2
Semisopochnoi,Confirmed Eruption,2018 Sep 8,1
Veniaminof,Confirmed Eruption,2018 Sep 4,1
Alaid,Confirmed Eruption,2018 Aug 20,1
Sangay,Confirmed Eruption,2018 Aug 8,2
Rincon de la Vieja,Confirmed Eruption,2018 Jul 28,1
Nishinoshima,Confirmed Eruption,2018 Jul 12,1
Mayotte,Confirmed Eruption,2018 Jul 3,0
"Negra, Sierra",Confirmed Eruption,2018 Jun 26,2
Telica,Confirmed Eruption,2018 Jun 21,1
Krakatau,Confirmed Eruption,2018 Jun 18,3
Fernandina,Confirmed Eruption,2018 Jun 16,1
Great Sitkin,Confirmed Eruption,2018 Jun 10,1
